code,所属概念数量,股票代码,所属概念,market_code
300509,3,300509.SZ,专精特新;机器人概念;机器视觉,33
002666,13,002666.SZ,职业教育;创投;有机硅概念;燃料电池;金属回收;核电;储能;长安汽车概念;小米汽车;新能源汽车;汽车热管理;比亚迪概念;特斯拉概念,33
002247,2,002247.SZ,共同富裕示范区;长三角一体化,33
300514,11,300514.SZ,智慧灯杆;物联网;智能家居;电力物联网;粤港澳大湾区;智能电网;充电桩;虚拟电厂;传感器;5G;芯片概念,33
301622,19,301622.SZ,稀土永磁;苹果概念;专精特新;无线充电;比亚迪概念;华为手机;新能源汽车;人形机器人;传感器;消费电子概念;机器人概念;小米概念;富士康概念;人民币贬值受益;华为概念;一带一路;西部大开发;深股通;融资融券,33
603321,3,603321.SH,共同富裕示范区;专精特新;5G,17
688670,3,688670.SH,流感;生物疫苗;融资融券,17
300053,24,300053.SZ,卫星导航;商业航天;时空大数据;东数西算(算力);芯片概念;汽车芯片;专精特新;低空经济;MCU芯片;数据中心(AIDC);存储芯片;安防;智慧城市;飞行汽车(eVTOL);数据要素;人脸识别;先进封装;人工智能;粤港澳大湾区;横琴新区;地下管网;国企改革;深股通;融资融券,33
301106,16,301106.SZ,星闪概念;电力物联网;智能电网;智能家居;新型烟草(电子烟);家用电器;5G;消费电子概念;智能座舱;汽车电子;新能源汽车;比亚迪概念;两轮车;PCB概念;股权转让(并购重组);融资融券,33
300837,5,300837.SZ,固废处理;共同富裕示范区;雅下水电概念;专精特新;动力电池回收,33
300329,6,300329.SZ,托育服务;文化传媒概念;三胎概念;职业教育;在线教育;股权转让(并购重组),33
605123,12,605123.SH,航空发动机;卫星导航;大飞机;商业航天;军工;可控核聚变;海工装备;核电;专精特新;风电;沪股通;融资融券,17
301065,3,301065.SZ,共同富裕示范区;丙烯酸;融资融券,33
688013,4,688013.SH,医疗器械概念;智能医疗;专精特新;融资融券,17
600617,6,600617.SH,天然气;绿色电力;地下管网;国企改革;沪股通;融资融券,17
605069,21,605069.SH,智谱AI;水利;元宇宙;土壤修复;智慧城市;碳中和;新型城镇化;AI智能体;AIGC概念;人工智能;污水处理;数字经济;数字孪生;雄安新区;乡村振兴;PPP概念;京津冀一体化;IP经济(谷子经济);物业管理;旅游概念;机器人概念,17
603680,5,603680.SH,高铁;一带一路;充电桩;储能;沪股通,17
