所属概念数量,所属概念,股票代码,market_code,code
7.0,一带一路;空气能热泵;净水概念;专精特新;新疆振兴;融资融券;西部大开发,920088.BJ,151,920088
7.0,共封装光学(CPO);融资融券;芯片概念;消费电子概念;汽车电子;专精特新;华为海思概念股,920981.BJ,151,920981
16.0,芯片概念;传感器;光伏概念;数字孪生;智慧城市;特斯拉概念;高铁;碳中和;水利;食品安全;家用电器;土壤修复;一带一路;房屋检测;新型城镇化;融资融券,301115.SZ,33,301115
29.0,PCB概念;苹果概念;汽车电子;英伟达概念;共封装光学(CPO);华为海思概念股;智能座舱;5G;芯片概念;人形机器人;无人驾驶;比亚迪概念;商业航天;华为概念;无人机;机器人概念;飞行汽车(eVTOL);车联网(车路协同);数据中心(AIDC);专精特新;低空经济;东数西算(算力);腾讯概念;百度概念;阿里巴巴概念;人工智能;脑机接口;深股通;融资融券,301366.SZ,33,301366
14.0,共封装光学(CPO);PCB概念;专精特新;5G;智能穿戴;汽车电子;机器人概念;新能源汽车;智能座舱;粤港澳大湾区;医疗器械概念;绿色电力;股权转让(并购重组);融资融券,688655.SH,17,688655
14.0,氟化工概念;俄乌冲突概念;光刻机;中芯国际概念;光刻胶;氢能源;存储芯片;第三代半导体;粤港澳大湾区;芯片概念;专精特新;核电;沪股通;融资融券,688268.SH,17,688268
19.0,军工信息化;军民融合;卫星导航;商业航天;军工;无人机;海工装备;低空经济;光纤概念;量子科技;专精特新;无人驾驶;中船系;传感器;数字经济;央企国企改革;芯片概念;国企改革;深股通,300516.SZ,33,300516
21.0,土壤修复;PPP概念;雄安新区;污水处理;垃圾分类;新型城镇化;水利;智慧城市;旅游概念;充电桩;乡村振兴;碳中和;粤港澳大湾区;地下管网;国企改革;一带一路;央企国企改革;回购增持再贷款概念;农业种植;深股通;融资融券,300197.SZ,33,300197
5.0,石墨烯;消费电子概念;芯片概念;两轮车;融资融券,301418.SZ,33,301418
8.0,电子纸;ST板块;智能家居;华为概念;专精特新;小米概念;AI眼镜;OLED,688496.SH,22,688496
12.0,光刻机;共封装光学(CPO);存储芯片;第三代半导体;芯片概念;专精特新;信创;人工智能;AI智能体;DeepSeek概念;深股通;融资融券,301095.SZ,33,301095
23.0,光纤概念;5G;PCB概念;商业航天;先进封装;OLED;芯片概念;工业母机;航空发动机;3D打印;无人机;数字水印;低空经济;高端装备;光伏概念;新能源汽车;风电;BC电池;TOPCON电池;央企国企改革;国企改革;融资融券;深股通,300747.SZ,33,300747
14.0,存储芯片;东数西算(算力);云计算;数据安全;数据中心(AIDC);信创;国产操作系统;芯片概念;卫星导航;军工信息化;专精特新;军工;深股通;融资融券,300302.SZ,33,300302
6.0,融资融券;芯片概念;第三代半导体;培育钻石;6G概念;专精特新,920725.BJ,151,920725
9.0,共封装光学(CPO);光纤概念;汽车芯片;芯片概念;5G;数据中心(AIDC);西部大开发;沪股通;融资融券,688498.SH,17,688498
25.0,光纤概念;量子科技;安防;食品安全;专精特新;医美概念;军工;物联网;水利;传感器;第三代半导体;新型工业化;商业航天;低空经济;可控核聚变;海工装备;数字经济;芯片概念;钙钛矿电池;虚拟现实;智能电网;光伏概念;数据中心(AIDC);工业互联网;消费电子概念,300667.SZ,33,300667
8.0,芯片概念;消费电子概念;专精特新;传感器;英伟达概念;机器人概念;沪股通;融资融券,688661.SH,17,688661
12.0,芯片概念;传感器;机器视觉;专精特新;新型工业化;比亚迪概念;机器人概念;新能源汽车;数字孪生;人工智能;AI应用;融资融券,688090.SH,17,688090
9.0,科创次新股;先进封装;芯片概念;东数西算(算力);注册制次新股;信创;人工智能;新股与次新股;融资融券,688802.SH,17,688802
14.0,WiFi 6;富士康概念;5G;专精特新;数据中心(AIDC);小米概念;无人驾驶;比亚迪概念;高压快充;海峡两岸;新能源汽车;充电桩;数字货币;融资融券,301577.SZ,33,301577
