股票代码,所属概念,所属概念数量,code,market_code
920634.BJ,风电;海工装备;储能;融资融券;金属锌;专精特新,6,920634,151
920642.BJ,飞行汽车(eVTOL);低空经济;军工;碳纤维;专精特新;军民融合;大飞机;新能源汽车;小米概念;融资融券,10,920642,151
688163.SH,创新药;融资融券,2,688163,17
301323.SZ,芯片概念;传感器;消费电子概念;核污染防治;稀土永磁;专精特新;新能源汽车;安防;华为概念;机器人概念;智能家居;粤港澳大湾区;人民币贬值受益;食品安全;医疗器械概念;建筑节能;中俄贸易概念;一带一路;锂电池概念;三胎概念;俄乌冲突概念;深股通;股权转让(并购重组);融资融券,24,301323,33
300377.SZ,Web3.0;数字货币;互联网金融;华为鲲鹏;区块链;AI应用;信创;华为昇腾;AI智能体;腾讯概念;阿里巴巴概念;DeepSeek概念;人工智能;华为概念;机器人概念;粤港澳大湾区;深股通;股权转让(并购重组);融资融券,19,300377,33
301176.SZ,PCB概念;MiniLED;汽车电子;锂电池概念;融资融券,5,301176,33
688010.SH,光刻机;MicroLED概念;机器视觉;卫星导航;商业航天;安防;专精特新;华为概念;军工;无人驾驶;机器人概念;军民融合;海峡两岸;福建自贸区;区块链;沪股通;融资融券,17,688010,17
301348.SZ,存储芯片;芯片概念;先进封装;消费电子概念;华为概念;第三代半导体;东数西算(算力);无人机;数据中心(AIDC);粤港澳大湾区;新能源汽车;锂电池概念;深股通;融资融券,14,301348,33
300581.SZ,军民融合;军工;航空发动机;无人机;卫星导航;专精特新;西部大开发;融资融券;深股通,9,300581,33
688507.SH,传感器;人形机器人;数字孪生;商业航天;机器人概念;低空经济;军工;AI智能体;AI应用;在线教育;人工智能;海工装备;股权转让(并购重组);沪股通;融资融券,15,688507,17
920006.BJ,军民融合;航空发动机;专精特新;融资融券;军工;无人机;减速器,7,920006,151
301656.SZ,减速器;注册制次新股;小米汽车;新能源汽车;小米概念;深股通;新股与次新股;融资融券,8,301656,33
301275.SZ,数字经济;人工智能;云计算;物联网;海峡两岸;机器人概念;专精特新;人民币贬值受益;储能;光伏概念;电子纸;消费电子概念;芯片概念;深股通;融资融券,15,301275,33
300244.SZ,AIGC概念;ChatGPT概念;AI应用;多模态AI;DRG/DIP;AI智能体;数据要素;阿里巴巴概念;DeepSeek概念;智能医疗;职业教育;人工智能;养老概念;基因测序;医疗器械概念;猴痘概念;共同富裕示范区;华为概念;三胎概念;辅助生殖;细胞免疫治疗;CRO概念;肝炎概念;阿尔茨海默概念;冷链物流;深股通;融资融券,27,300244,33
688662.SH,共封装光学(CPO);芯片概念;5G;储能;融资融券,5,688662,17
688788.SH,军工信息化;华为昇腾;军工;无人机;无人驾驶;人工智能;芯片概念;粤港澳大湾区;沪股通;融资融券,10,688788,17
688583.SH,空间计算;阿里巴巴概念;机器人概念;专精特新;大飞机;特斯拉概念;比亚迪概念;3D打印;宁德时代概念;沪股通;融资融券,11,688583,17
688772.SH,钠离子电池;固态电池;锂电池概念;储能;粤港澳大湾区;新能源汽车;飞行汽车(eVTOL);小米概念;机器人概念;低空经济;华为概念;人民币贬值受益;家用电器;无人机;DeepSeek概念;人形机器人;消费电子概念;苹果概念;华为手机;智能穿戴;同花顺果指数;数据中心(AIDC);融资融券;沪股通,24,688772,17
