所属概念,market_code,所属概念数量,股票代码,code
空气能热泵;净水概念;专精特新;新疆振兴;融资融券;西部大开发,151,6,920088.BJ,920088
福建自贸区;融资融券;低空经济;人民币贬值受益;航运概念;海峡两岸,151,6,920571.BJ,920571
可燃冰;俄乌冲突概念;页岩气;天然气;超超临界发电;氢能源;雄安新区;一带一路;储能;高端装备;军工;融资融券;创投;无人机;机器人概念;人工智能;数据中心;东数西算(算力),33,18,300157.SZ,300157
黄金概念;民爆概念;2025年报预增;绿色电力;一带一路;芯片概念;人民币贬值受益;智能电网;深股通;融资融券,33,10,300139.SZ,300139
军工信息化;商业航天;卫星导航;航空发动机;军民融合;军工;Web3.0;无人机;低空经济;东数西算(算力);信创;虚拟现实;电子身份证;人工智能;高端装备;数字孪生;第三代半导体;区块链;物联网;机器视觉;专精特新;机器人概念;传感器;西部大开发;AI应用;融资融券,33,26,301213.SZ,301213
可燃冰;俄乌冲突概念;页岩气;天然气;新疆振兴;一带一路;海工装备;中俄贸易概念;高端装备;专精特新;融资融券,33,11,301158.SZ,301158
先进封装;第三代半导体;共封装光学(CPO);富士康概念;PCB概念;苹果概念;MiniLED;工业母机;华为手机;汽车芯片;芯片概念;消费电子概念;锂电池概念;比亚迪概念;小米概念;高端装备;新型工业化;专精特新;2025年报预增;机器视觉;工业互联网;华为概念;军工;深股通;融资融券,33,25,301338.SZ,301338
可燃冰;俄乌冲突概念;天然气;新疆振兴;海工装备;深股通;融资融券,33,7,300191.SZ,300191
光刻机;专精特新;智能穿戴;海峡两岸;机器视觉;机器人概念;智能座舱;无人机;安防;无人驾驶;华为概念;虚拟现实;人工智能;融资融券,17,14,688307.SH,688307
军工信息化;AI智能体;空间计算;元宇宙;腾讯概念;数字经济;军民融合;DeepSeek概念;卫星导航;人工智能;数字孪生;文化传媒概念;商业航天;手机游戏;网络游戏;虚拟现实;成飞概念;军工;无人机;京津冀一体化;MR(混合现实);核污染防治;机器人概念;核电;AI应用;融资融券,33,26,301302.SZ,301302
页岩气;天然气;可燃冰;俄乌冲突概念;氢能源;西部大开发;海工装备;核电;高端装备;军工;人工智能;股权转让(并购重组),33,12,300084.SZ,300084
俄乌冲突概念;页岩气;天然气;新疆振兴;西部大开发;碳中和;一带一路;人民币贬值受益,33,8,300164.SZ,300164
俄乌冲突概念;天然气;股权转让(并购重组),33,3,300483.SZ,300483
军民融合;军工;无人机;低空经济;央企国企改革;人工智能;西部大开发;国企改革;沪股通;中字头股票;融资融券,17,11,688297.SH,688297
核污染防治;军民融合;军工;无人机;核电;低空经济;高端装备;专精特新;机器人概念;食品安全;京津冀一体化;融资融券,33,12,300875.SZ,300875
换电概念;算力租赁;天然气;氢能源;融资融券;储能;东数西算(算力);西部大开发;锂电池概念;数据中心,151,10,920010.BJ,920010
人工智能;阿里巴巴概念;家用电器;腾讯概念;DeepSeek概念;AIGC概念;东数西算(算力);算力租赁;深股通;融资融券,33,10,300911.SZ,300911
C2M概念;一带一路;生态农业;人民币贬值受益;专精特新;PCB概念;融资融券,33,7,301362.SZ,301362
融资融券;中韩自贸区;一带一路;航运概念;跨境电商;统一大市场,151,6,920351.BJ,920351
商业航天;减速器;人形机器人;汽车热管理;机器人概念;新能源汽车;比亚迪概念;芯片概念;充电桩;光伏概念;华为概念;储能;海峡两岸;风电;数据中心;冷链物流;稀土永磁;融资融券,33,18,301226.SZ,301226
