code,market_code,股票代码,涨停原因类别[20260813]
002575,33,002575.SZ,算力租赁+腾讯合作+酒类销售
603890,17,603890.SH,客户联想集团+液冷服务器+人形机器人+AIPC
002437,33,002437.SZ,创新药+神经退行性疾病+仿制药龙头
603903,17,603903.SH,半导体设备+污水处理+芯长征入主
601579,17,601579.SH,黄酒+大消费+年报增长
603261,17,603261.SH,飞机地面保障设备+军工+可控核聚变
002219,33,002219.SZ,创新药+智能机器人+脑机接口+银发经济
603118,17,603118.SH,数据中心交换机+机器人+网通设备+唐山国资
000936,33,000936.SZ,间接参股光芯片+磷化铟+涤纶化纤+创投
000692,33,000692.SZ,供热工程+风电+亏损收窄
603191,17,603191.SH,定增获批+AI数据中心+华为超充+输配电
000006,33,000006.SZ,房地产+城中村改造+资产出售+深圳国资
600726,17,600726.SH,热电联产+煤炭+新能源转型+央企
001260,33,001260.SZ,汽车软内饰+海外产能+新能源客户
605286,17,605286.SH,算电协同+储能+电梯部件
600800,17,600800.SH,丙烯酸+丙烯+天津国资
003032,33,003032.SZ,
600613,17,600613.SH,化学制药+抗肿瘤+感冒止咳
600491,22,600491.SH,要约收购+建筑总包+绿色建筑
603887,17,603887.SH,IDC全产业链+互联网企业合作+拟终止定增
002066,33,002066.SZ,核电+耐火材料+央企
000695,33,000695.SZ,源网荷储绿电+锂电池负极+硅碳负极
002329,33,002329.SZ,乳业+新式茶饮+奶水牛种源
002921,33,002921.SZ,机器人+精密制造+中报预计扭亏
603912,17,603912.SH,算力租赁+液冷+数据中心
000593,33,000593.SZ,牛散举牌+天然气+氢能
002706,33,002706.SZ,固态断路器+数据中心+算力
002581,33,002581.SZ,创新药+神经生长因子+中药饮片+医药流通
002543,33,002543.SZ,热泵+厨卫电器+海外布局
002172,33,002172.SZ,脑机接口+医疗服务+高压氧舱+国企改革
301060,33,301060.SZ,病理AI+CRO概念+医疗服务
002827,33,002827.SZ,
301520,33,301520.SZ,创新药+CRO+收购赛德盛
603758,17,603758.SH,小盘股+人形机器人+真空镀膜
000802,33,000802.SZ,《欢迎来龙餐馆》上映+影视全产业链+半年报减亏
600683,17,600683.SH,资产重组+拟购光电子资产+TOD轨道物业+北京国资
002644,33,002644.SZ,流感中成药+中药创新+国企改革
688496,22,688496.SH,ST板块+面值退市博弈+电子纸模组
688137,17,688137.SH,CRO+重组蛋白+AI医药
002724,33,002724.SZ,照明+智慧灯杆+物联网
002322,33,002322.SZ,半年报增长+高分红+AI应用
000887,33,000887.SZ,腾讯云合作+算力液冷+人形机器人
605179,17,605179.SH,乳业+谐音炒作+低温乳品
688265,17,688265.SH,AI制药+基因修饰模型+CRO服务
600821,17,600821.SH,算电协同+回购注销+绿证交易+天津国资
603466,17,603466.SH,具身智能+联手宇树科技+AI视频生成+中报预增
603330,17,603330.SH,CPO+电子胶+半年报预盈+出售子公司
603998,17,603998.SH,集采中选+中药创新药+洛索洛芬钠凝胶贴膏
300333,33,300333.SZ,控制权变更+拟收购佰内科技+服务器技术服务
600881,17,600881.SH,创新药+预重整+重整投资人招募+长春国资
002081,33,002081.SZ,洁净室+参建数据中心+海外业务+建筑装饰龙头
000972,33,000972.SZ,小罐番茄酱+番茄制品+预重整延期+国企改革
300404,33,300404.SZ,中药创新药+CRO+战略合作
603956,17,603956.SH,PCB概念+智慧水务+AI应用
603990,17,603990.SH,
300534,33,300534.SZ,中药+创新药+甘肃国资
300862,33,300862.SZ,拟收购岚创科技+真空镀膜设备+环境监测+低空经济
601886,17,601886.SH,半年报增长+BIPV+海外幕墙
603236,17,603236.SH,中报增长+端侧AI+人形机器人+物联网模组
002174,33,002174.SZ,先进封装+游戏+AI应用
000779,33,000779.SZ,
300937,33,300937.SZ,医药零售整合+医药电商+AI医疗
601999,17,601999.SH,AI应用+文化传媒+辽宁国企
601026,17,601026.SH,环氧塑封材料+半导体封装+风电材料+海外风电
601991,17,601991.SH,超超临界火电+定增扩产+央企
002396,33,002396.SZ,CPO+数据中心交换机+半年报预增+福建国资
