market_code,所属概念数量,所属概念,code,股票代码
22,10,ST板块;商业航天;军民融合;智慧城市;军工;无人机;低空经济;安防;人工智能;专精特新,688287,688287.SH
17,6,科创次新股;注册制次新股;医疗器械概念;超导概念;新股与次新股;融资融券,688805,688805.SH
33,20,智能家居;人民币贬值受益;消费电子概念;汽车电子;专精特新;星闪概念;跨境电商;人脸识别;智能音箱;宠物经济;机器人概念;物联网;无线耳机;车联网(车路协同);人工智能;腾讯概念;英伟达概念;鸿蒙概念;虚拟数字人;融资融券,301189,301189.SZ
17,10,细胞免疫治疗;重组蛋白;减肥药;创新药;仿制药一致性评价;流感;合成生物;创投;沪股通;融资融券,688166,688166.SH
33,12,AI应用;智能医疗;医药电商;流感;创新药;阿里巴巴概念;养老概念;人工智能;合成生物;医疗器械概念;深股通;融资融券,301408,301408.SZ
33,10,柔性屏(折叠屏);MiniLED;OLED;新型工业化;华为概念;新能源汽车;MicroLED概念;智能物流;摘帽;股权转让(并购重组),300097,300097.SZ
33,13,家庭医生;医药电商;智能医疗;医美概念;养老概念;宠物经济;时空大数据;阿里巴巴概念;跨境电商;冷链物流;海峡两岸;深股通;融资融券,301017,301017.SZ
33,50,华为昇腾;智谱AI;算力租赁;华为鲲鹏;云计算;数据确权;云办公;财税数字化;多模态AI;信创;智慧政务;网络安全;东数西算(算力);AIGC概念;AI智能体;人脸识别;数据要素;腾讯概念;时空大数据;阿里巴巴概念;语音技术;在线教育;区块链;数字乡村;智慧灯杆;智慧城市;安防;数据中心;华为概念;卫星导航;数字孪生;DeepSeek概念;华为数字能源;5G;物联网;人工智能;液冷服务器;数字经济;芯片概念;智能医疗;无人机;低空经济;新型工业化;智能电网;机器人概念;粤港澳大湾区;智能物流;AI应用;新型城镇化;融资融券,301248,301248.SZ
17,11,智能医疗;猴痘概念;辅助生殖;阿尔茨海默概念;幽门螺杆菌概念;重组蛋白;肝炎概念;流感;医药电商;沪股通;融资融券,688253,688253.SH
33,8,HJT电池;钙钛矿电池;TOPCON电池;光伏概念;云计算;福建自贸区;海峡两岸;储能,300051,300051.SZ
17,5,先进封装;PCB概念;芯片概念;沪股通;融资融券,688603,688603.SH
17,32,光纤概念;WiFi 6;智慧灯杆;高铁;水利;专精特新;海工装备;5G;网络安全;人工智能;新型工业化;安防;物联网;数字经济;智慧城市;车联网(车路协同);DeepSeek概念;华为概念;工业互联网;智能物流;星闪概念;芯片概念;换电概念;无人驾驶;机器人概念;一带一路;智能电网;粤港澳大湾区;充电桩;风电;储能;融资融券,688618,688618.SH
33,40,EDR概念;算力租赁;英伟达概念;云游戏;东数西算(算力);云计算;存储芯片;共封装光学(CPO);数据中心;AI眼镜;智能音箱;芯片概念;腾讯概念;智能穿戴;AI智能体;AIGC概念;汽车电子;消费电子概念;人脸识别;车联网(车路协同);安防;小米概念;物联网;DeepSeek概念;短剧游戏;人工智能;AI应用;人形机器人;2025年报预增;机器人概念;网络游戏;粤港澳大湾区;智能家居;人民币贬值受益;家用电器;净水概念;跨境电商;2026一季报预增;融资融券;深股通,300857,300857.SZ
33,13,人形机器人;华为汽车;新能源汽车;粤港澳大湾区;数据中心;低空经济;宁德时代概念;储能;固态电池;锂电池概念;燃料电池;深股通;融资融券,301631,301631.SZ
33,4,染料;算力租赁;东数西算(算力);AI智能体,300798,300798.SZ
33,36,柔性直流输电;智能电网;电力物联网;虚拟电厂;华为数字能源;风电;高压快充;充电桩;换电概念;光伏概念;光伏建筑一体化;绿色电力;储能;碳中和;钒电池;海工装备;数据中心;数字孪生;工业互联网;京津冀一体化;高端装备;数字经济;2025年报预增;人工智能;一带一路;新疆振兴;东数西算(算力);长安汽车概念;华为概念;机器人概念;锂电池概念;新能源汽车;比亚迪概念;固态电池;股权转让(并购重组);深股通,300444,300444.SZ
33,11,商业航天;航空发动机;大飞机;无人机;低空经济;工业互联网;核电;专精特新;机器人概念;风电;融资融券,301232,301232.SZ
17,9,科创次新股;先进封装;芯片概念;注册制次新股;东数西算(算力);人工智能;信创;新股与次新股;融资融券,688802,688802.SH
33,11,2025年报预增;AI智能体;NFT概念;IP经济(谷子经济);DeepSeek概念;露营经济;跨境电商;家用电器;物联网;超级品牌;融资融券,301055,301055.SZ
33,24,AI应用;AI语料;AIGC概念;Sora概念(文生视频);数据要素;AI智能体;鸿蒙概念;免税店;DeepSeek概念;空间计算;人工智能;京津冀一体化;阿里巴巴概念;抖音概念(字节概念);跨境电商;预制菜;乡村振兴;智能物流;回购增持再贷款概念;华为概念;智能家居;苹果概念;融资融券;深股通,000785,000785.SZ
33,7,猪肉;预制菜;绿色电力;元宇宙;机器人概念;深股通;摘帽,002124,002124.SZ
33,15,医药电商;创新药;AI应用;智能医疗;医疗器械概念;养老概念;冷链物流;农业种植;牙科医疗;回购增持再贷款概念;统一大市场;人工智能;区块链;华为概念;融资融券,002589,002589.SZ
17,16,医药电商;毛发医疗;仿制药一致性评价;流感;维生素;幽门螺杆菌概念;创新药;阿尔茨海默概念;工业大麻;眼科医疗;国企改革;智能医疗;AI应用;专精特新;沪股通;融资融券,600572,600572.SH
33,10,仿制药一致性评价;创新药;医药电商;流感;民营医院;医疗器械概念;冷链物流;西部大开发;京津冀一体化;股权转让(并购重组),000788,000788.SZ
33,8,智能家居;回购增持再贷款概念;西部大开发;绿色电力;人工智能;华为概念;DeepSeek概念;股权转让(并购重组),002798,002798.SZ
17,5,乳业;三胎概念;跨境电商;幽门螺杆菌概念;白酒概念,605388,605388.SH
17,16,仿制药一致性评价;流感;医药电商;创新药;动物疫苗;阿尔茨海默概念;减肥药;合成生物;青蒿素;医美概念;宠物经济;智能医疗;国企改革;DeepSeek概念;融资融券;沪股通,600267,600267.SH
17,7,新型城镇化;地下管网;PPP概念;水利;乡村振兴;一带一路;沪股通,603815,603815.SH
33,16,卫星导航;商业航天;军民融合;航空发动机;军工;低空经济;无人机;高铁;3D打印;高端装备;石墨烯;国企改革;污水处理;深股通;股权转让(并购重组);融资融券,002361,002361.SZ
33,20,抽水蓄能;超超临界发电;虚拟电厂;绿色电力;风电;煤炭概念;碳中和;光伏建筑一体化;储能;充电桩;数据中心;东数西算(算力);工业互联网;华为概念;国企改革;人工智能;创投;智能物流;深股通;融资融券,001896,001896.SZ
33,7,锂电池概念;2025年报预增;长三角一体化;芯片概念;食品安全;创投;海峡两岸,002787,002787.SZ
