market_code,股票代码,code,所属概念数量,所属概念
33,300668.SZ,300668,6,新型城镇化;数据确权;ERP概念;华为概念;AIGC概念;股权转让(并购重组)
33,301306.SZ,301306,10,卫星导航;商业航天;大飞机;军民融合;军工;华为概念;存储芯片;专精特新;西部大开发;融资融券
33,301292.SZ,301292,8,钠离子电池;固态电池;锂电池概念;比亚迪概念;新能源汽车;专精特新;深股通;融资融券
33,300736.SZ,300736,3,华为概念;苹果概念;区块链
33,301587.SZ,301587,8,新能源汽车;特斯拉概念;低空经济;储能;锂电池概念;固态电池;商业航天;融资融券
33,002263.SZ,002263,12,石墨烯;光伏概念;比亚迪概念;新能源汽车;国企改革;共同富裕示范区;特高压;军工;柔性直流输电;PET铜箔;深股通;融资融券
33,000692.SZ,000692,2,风电;充电桩
33,000720.SZ,000720,4,光纤概念;物业管理;国企改革;央企国企改革
17,600310.SH,600310,13,超超临界发电;抽水蓄能;绿色电力;风电;储能;沪股通;融资融券;参股券商;国企改革;西部大开发;创投;DeepSeek概念;人工智能
17,600726.SH,600726,8,超超临界发电;绿色电力;煤炭概念;黑龙江自贸区;风电;国企改革;央企国企改革;沪股通
17,601908.SH,601908,11,硅能源;光伏概念;绿色电力;风电;第三代半导体;高端装备;京津冀一体化;芯片概念;专精特新;沪股通;融资融券
33,002471.SZ,002471,25,商业航天;大飞机;航空发动机;军民融合;军工;低空经济;无人机;数字经济;东数西算(算力);核电;海工装备;柔性直流输电;智能电网;高端装备;机器人概念;水利;光伏概念;充电桩;数据中心;风电;创投;一带一路;石墨烯;深股通;融资融券
17,603520.SH,603520,5,流感;仿制药一致性评价;专精特新;锂电池概念;氟化工概念
17,600207.SH,600207,11,光热发电;光伏概念;储能;建筑节能;天然气;国企改革;医疗器械概念;芯片概念;富士康概念;沪股通;融资融券
33,002361.SZ,002361,16,卫星导航;商业航天;军民融合;航空发动机;军工;低空经济;无人机;高铁;3D打印;高端装备;石墨烯;污水处理;国企改革;深股通;股权转让(并购重组);融资融券
33,002109.SZ,002109,4,煤化工概念;国企改革;西部大开发;融资融券
33,003018.SZ,003018,1,液冷服务器
33,002902.SZ,002902,26,F5G概念;共封装光学(CPO);铜缆高速连接;华为海思概念股;5G;数据中心;第三代半导体;汽车电子;消费电子概念;芯片概念;智能穿戴;华为概念;粤港澳大湾区;充电桩;新能源汽车;储能;露营经济;车联网(车路协同);光伏概念;工业互联网;体育产业;数字经济;一带一路;跨境电商;深股通;融资融券
17,605555.SH,605555,8,人形机器人;机器人概念;家用电器;无人驾驶;新能源汽车;人民币贬值受益;共同富裕示范区;沪股通
33,002782.SZ,002782,14,高压快充;消费电子概念;5G;充电桩;小米汽车;新能源汽车;储能;比亚迪概念;光伏概念;机器人概念;华为概念;低空经济;融资融券;深股通
33,002192.SZ,002192,7,锂电池概念;储能;比亚迪概念;回购增持再贷款概念;粤港澳大湾区;深股通;融资融券
17,603538.SH,603538,10,减肥药;CRO概念;肝炎概念;辅助生殖;流感;宠物经济;合成生物;人民币贬值受益;沪股通;融资融券
17,603026.SH,603026,9,氟化工概念;宁德时代概念;锂电池概念;环氧丙烷;燃料电池;新能源汽车;国企改革;沪股通;融资融券
33,002149.SZ,002149,20,商业航天;卫星导航;航空发动机;军工;可控核聚变;超导概念;核电;海工装备;柔性屏(折叠屏);5G;专精特新;燃料电池;西部大开发;氢能源;小金属概念;国企改革;医疗器械概念;俄乌冲突概念;深股通;融资融券
17,603687.SH,603687,14,钙钛矿电池;数字水印;AIGC概念;ChatGPT概念;数字孪生;DeepSeek概念;光伏概念;人工智能;物联网;工业互联网;共同富裕示范区;锂电池概念;烟草;芯片概念
33,000037.SZ,000037,5,储能;固废处理;粤港澳大湾区;核电;2025年报预增
33,000965.SZ,000965,8,物业管理;天津自贸区;参股券商;养老概念;国企改革;京津冀一体化;大飞机;融资融券
17,603272.SH,603272,5,长三角一体化;共同富裕示范区;工业互联网;专精特新;回购增持再贷款概念
33,002082.SZ,002082,11,阿尔茨海默概念;共同富裕示范区;医疗器械概念;一带一路;创新药;肝炎概念;仿制药一致性评价;流感;生物疫苗;医药电商;深股通
33,000722.SZ,000722,8,绿色电力;碳交易;国企改革;水利;供销社;股权转让(并购重组);深股通;融资融券
33,001367.SZ,001367,5,合成生物;仿制药一致性评价;人民币贬值受益;专精特新;融资融券
17,603937.SH,603937,1,锂电池概念
17,603601.SH,603601,14,商业航天;大飞机;核污染防治;PM2.5;核电;芯片概念;建筑节能;特斯拉概念;新能源汽车;西部大开发;宁德时代概念;家用电器;中芯国际概念;融资融券
17,603217.SH,603217,4,专精特新;可降解塑料;合成生物;固态电池
33,002705.SZ,002705,10,宠物经济;三胎概念;中俄贸易概念;家用电器;人民币贬值受益;智能家居;机器人概念;小米概念;融资融券;深股通
33,000767.SZ,000767,9,超超临界发电;绿色电力;风电;碳交易;碳中和;国企改革;2025年报预增;深股通;融资融券
17,601515.SH,601515,15,烟草;创投;比亚迪概念;新型烟草(电子烟);PET铜箔;PVDF概念;医疗器械概念;宁德时代概念;锂电池概念;国企改革;固态电池;钠离子电池;沪股通;融资融券;股权转让(并购重组)
17,600682.SH,600682,10,民营医院;细胞免疫治疗;养老概念;基因测序;创新药;机器人概念;IP经济(谷子经济);物业管理;沪股通;融资融券
33,000968.SZ,000968,7,俄乌冲突概念;天然气;煤炭概念;新疆振兴;深股通;国企改革;融资融券
17,600163.SH,600163,11,抽水蓄能;生物质能发电;绿色电力;风电;充电桩;福建自贸区;国企改革;海峡两岸;化债概念(AMC概念);沪股通;融资融券
17,600844.SH,600844,4,煤化工概念;可降解塑料;西部大开发;股权转让(并购重组)
33,002692.SZ,002692,11,风电;智能电网;核电;充电桩;光伏概念;储能;专精特新;新能源汽车;国企改革;数字孪生;芯片概念
17,600800.SH,600800,7,环氧丙烷;丙烯酸;天津自贸区;国企改革;氢能源;融资融券;芯片概念
33,000927.SZ,000927,14,水泥概念;统一大市场;中俄贸易概念;国企改革;一带一路;央企国企改革;冷链物流;高铁;智能物流;充电桩;人工智能;中字头股票;融资融券;深股通
17,600780.SH,600780,6,绿色电力;风电;国企改革;证金持股;沪股通;融资融券
151,920146.BJ,920146,4,新能源汽车;氢能源;融资融券;比亚迪概念
33,301312.SZ,301312,26,共封装光学(CPO);新型烟草(电子烟);AI PC;MicroLED概念;MiniLED;苹果概念;华为海思概念股;数据中心;MR(混合现实);消费电子概念;芯片概念;AI眼镜;机器视觉;新型工业化;汽车电子;专精特新;高端装备;比亚迪概念;华为概念;粤港澳大湾区;虚拟现实;机器人概念;空间计算;元宇宙;深股通;融资融券
33,300501.SZ,300501,3,锂电池概念;固态电池;回购增持再贷款概念
33,300749.SZ,300749,6,海工装备;商业航天;人工智能;回购增持再贷款概念;智能家居;家用电器
17,603115.SH,603115,3,储能;汽车电子;专精特新
33,000973.SZ,000973,14,固态电池;锂电池概念;宁德时代概念;融资融券;比亚迪概念;OLED;特高压;国企改革;证金持股;粤港澳大湾区;航运概念;AI眼镜;深股通;股权转让(并购重组)
17,688307.SH,688307,14,光刻机;海峡两岸;智能穿戴;专精特新;无人机;机器视觉;智能座舱;无人驾驶;虚拟现实;机器人概念;华为概念;安防;人工智能;融资融券
33,300168.SZ,300168,35,DRG/DIP;家庭医生;虚拟数字人;AI智能体;数据要素;互联网保险;华为盘古;在线教育;华为鲲鹏;智慧政务;鸿蒙概念;智能医疗;财税数字化;信创;时空大数据;数字乡村;区块链;DeepSeek概念;网络安全;MLOps概念;人工智能;数字经济;电子身份证;智慧城市;养老概念;移动支付;算力租赁;安防;华为概念;AI应用;数据中心;机器人概念;乡村振兴;深股通;融资融券
33,000659.SZ,000659,3,横琴新区;粤港澳大湾区;啤酒概念
33,301246.SZ,301246,13,钠离子电池;氟化工概念;固态电池;磷化工;锂电池概念;2025年报预增;比亚迪概念;猴痘概念;仿制药一致性评价;合成生物;流感;深股通;融资融券
33,001389.SZ,001389,19,共封装光学(CPO);PCB概念;AI PC;富士康概念;5G;消费电子概念;汽车电子;数据中心;华为概念;粤港澳大湾区;安防;机器人概念;商业航天;卫星导航;人民币贬值受益;人工智能;一带一路;融资融券;深股通
17,688353.SH,688353,9,钠离子电池;固态电池;宁德时代概念;锂电池概念;有机硅概念;比亚迪概念;专精特新;沪股通;融资融券
33,301150.SZ,301150,10,PET铜箔;固态电池;PCB概念;宁德时代概念;锂电池概念;储能;比亚迪概念;专精特新;深股通;融资融券
151,920857.BJ,920857,6,安防;机器人概念;小米概念;西部大开发;融资融券;消费电子概念
17,600257.SH,600257,12,创投;养老概念;净水概念;高压氧舱;污水处理;乡村振兴;民营医院;智能医疗;回购增持再贷款概念;预制菜;白酒概念;融资融券
17,600758.SH,600758,6,煤炭概念;绿色电力;风电;国企改革;沪股通;融资融券
