所属概念,所属概念数量,股票代码,market_code,code
专精特新;苹果概念;机器视觉;新股与次新股;融资融券,5.0,920178.BJ,151,920178
数据要素;算力租赁;AI应用;智慧城市;数字乡村;东数西算(算力);数字经济;人工智能;车联网(车路协同);华为概念;机器人概念;5G;京津冀一体化;充电桩;储能;光伏概念;西部大开发;ST板块,18.0,301139.SZ,33,301139
长安汽车概念;专精特新;华为汽车;新能源汽车;比亚迪概念;燃料电池;国企改革;氢能源;融资融券,9.0,301020.SZ,33,301020
存储芯片;汽车芯片;芯片概念;物联网;沪股通;融资融券,6.0,688449.SH,17,688449
盐湖提锂;稀土永磁;净水概念;专精特新;核污染防治;污水处理;核电;减肥药;超超临界发电;融资融券,10.0,301092.SZ,33,301092
富士康概念;PCB概念;5G;芯片概念;消费电子概念;智能座舱;柔性屏(折叠屏);机器视觉;专精特新;比亚迪概念;新型工业化;OLED;无线耳机;人形机器人;华为概念;华为汽车;液冷服务器;新能源汽车;机器人概念;华为昇腾;高端装备;充电桩;医疗器械概念;储能;存储芯片;华为数字能源;共封装光学(CPO);深股通;融资融券,29.0,301013.SZ,33,301013
柔性屏(折叠屏);PCB概念;先进封装;钙钛矿电池;固态电池;芯片概念;消费电子概念;华为概念;卫星导航;光伏概念;商业航天;专精特新;储能;风电;军工;融资融券,16.0,688323.SH,17,688323
特高压;智能电网;文化传媒概念;燃料电池;核电,5.0,300069.SZ,33,300069
芯片概念;中芯国际概念;新能源汽车;人民币贬值受益;动力电池回收;融资融券,6.0,301322.SZ,33,301322
芯片概念;专精特新;人民币贬值受益;沪股通;融资融券,5.0,688584.SH,17,688584
国家大基金持股;存储芯片;芯片概念;消费电子概念;上海国企改革;国企改革;沪股通;融资融券,8.0,688347.SH,17,688347
国家大基金持股;中芯国际概念;先进封装;存储芯片;同花顺新质50;芯片概念;沪股通;融资融券,8.0,688361.SH,17,688361
股权转让(并购重组);芯片概念;中芯国际概念;融资融券;专精特新;光伏概念,6.0,920179.BJ,151,920179
工业互联网;融资融券,2.0,688133.SH,17,688133
光伏概念;光伏建筑一体化;专精特新;长三角一体化;芯片概念;核电;OLED,7.0,300715.SZ,33,300715
风电;比亚迪概念;数据中心;储能;专精特新;新能源汽车;光伏概念;新股与次新股;注册制次新股;融资融券,10.0,001393.SZ,33,001393
机器人概念;专精特新;新股与次新股;融资融券,4.0,920096.BJ,151,920096
储能;超级电容;PM2.5;海峡两岸;股权转让(并购重组);深股通;融资融券,7.0,300174.SZ,33,300174
国家大基金持股;存储芯片;先进封装;芯片概念;沪股通;融资融券,6.0,688072.SH,17,688072
富士康概念;先进封装;芯片概念;比亚迪概念;专精特新;华为概念;新能源汽车;光伏概念;低空经济;粤港澳大湾区;融资融券,11.0,301319.SZ,33,301319
家用电器;华为概念;融资融券;东数西算(算力);比亚迪概念,5.0,920699.BJ,151,920699
光刻胶;固态电池;芯片概念;宁德时代概念;锂电池概念;工业互联网;比亚迪概念;高端装备;注册制次新股;新股与次新股;融资融券,11.0,301599.SZ,33,301599
液冷服务器;5G;数据中心;高压快充;成飞概念;可控核聚变;军工;华为概念;核电;新能源汽车;抖音概念(字节概念);阿里巴巴概念;百度概念;抽水蓄能;腾讯概念;空气能热泵;储能;2025年报预增;DeepSeek概念;锂电池概念;碳中和;特高压;风电;海工装备;柔性直流输电;东数西算(算力);富士康概念;宁德时代概念;深股通;融资融券,30.0,301018.SZ,33,301018
比亚迪概念;宁德时代概念;华为概念;5G;新股与次新股;融资融券,6.0,920028.BJ,151,920028
存储芯片;芯片概念;专精特新;股权转让(并购重组);沪股通;融资融券,6.0,688206.SH,17,688206
液冷服务器;数据中心;芯片概念;光刻机;新能源汽车;专精特新;高端装备;换电概念;宁德时代概念;2025年报预增;储能;氢能源;深股通;融资融券,14.0,300990.SZ,33,300990
国家大基金持股;存储芯片;中芯国际概念;中国AI 50;芯片概念;OLED;消费电子概念;汽车电子;物联网;上海自贸区;同花顺漂亮100;融资融券;沪股通,13.0,688981.SH,17,688981
科创次新股;共封装光学(CPO);存储芯片;芯片概念;高端装备;专精特新;注册制次新股;2026一季报预增;新股与次新股;融资融券,10.0,688808.SH,17,688808
PCB概念;苹果概念;5G;芯片概念;消费电子概念;传感器;机器视觉;专精特新;粤港澳大湾区;人工智能;融资融券,11.0,688312.SH,17,688312
光刻机;中船系;氟化工概念;中芯国际概念;国家大基金持股;固态电池;芯片概念;锂电池概念;央企国企改革;国企改革;沪股通;融资融券;中字头股票,13.0,688146.SH,17,688146
冷链物流;智能医疗;养老概念;阿里巴巴概念;物联网;毫米波雷达;融资融券;星闪概念;传感器;机器人概念;专精特新;人民币贬值受益,12.0,920374.BJ,151,920374
共封装光学(CPO);液冷服务器;AI眼镜;小米概念;华为概念;脑机接口;一带一路;医疗器械概念;沪股通;融资融券,10.0,688371.SH,17,688371
AI眼镜;智能穿戴;语音技术;东数西算(算力);传感器;机器视觉;新型工业化;专精特新;智能电网;人形机器人;无人机;人工智能;机器人概念;电力物联网;DeepSeek概念;储能;海工装备;一带一路,18.0,300853.SZ,33,300853
芯片概念;有机硅概念;光刻胶;专精特新;新股与次新股;融资融券;国企改革,7.0,920015.BJ,151,920015
虚拟电厂;光伏建筑一体化;储能;智能电网;光伏概念;回购增持再贷款概念;沪股通;融资融券,8.0,688390.SH,17,688390
存储芯片;OLED;芯片概念;MicroLED概念;专精特新;东数西算(算力);粤港澳大湾区;机器人概念;沪股通;融资融券,10.0,688627.SH,17,688627
汽车芯片;MCU芯片;先进封装;芯片概念;传感器;消费电子概念;物联网;汽车电子;人形机器人;机器人概念;新能源汽车;沪股通;融资融券,13.0,688052.SH,17,688052
存储芯片;科创次新股;芯片概念;华为概念;2025年报预增;2026一季报预增;注册制次新股;长三角一体化;新股与次新股;融资融券,10.0,688809.SH,17,688809
数字货币;互联网金融;移动支付;鸿蒙概念;数据要素;信创;数字经济;网络安全;数据安全;芯片概念;融资融券,11.0,300333.SZ,33,300333
光伏概念;专精特新;融资融券,3.0,301373.SZ,33,301373
人形机器人;机器人概念;燃料电池;一带一路;风电;氢能源;可降解塑料;沪股通;股权转让(并购重组);融资融券,10.0,688585.SH,17,688585
国家大基金持股;MCU芯片;第三代半导体;芯片概念;传感器;国企改革;沪股通;融资融券,8.0,688172.SH,17,688172
第三代半导体;芯片概念;华为概念;专精特新;高端装备;京津冀一体化;沪股通;融资融券,8.0,688200.SH,17,688200
