所属概念,股票代码,market_code,code,所属概念数量
培育钻石;体育产业;融资融券;专精特新,920527.BJ,151,920527,4
换电概念;充电桩;低空经济;核电;新型工业化;粤港澳大湾区;储能;高压快充;燃料电池;光伏概念;比亚迪概念;氢能源;新能源汽车;5G;两轮车;国企改革;深股通;中字头股票;融资融券,301516.SZ,33,301516,19
中芯国际概念;存储芯片;芯片概念;硅能源;绿色电力;沪股通;融资融券,688432.SH,17,688432,7
共封装光学(CPO);PCB概念;富士康概念;MiniLED;5G;汽车电子;专精特新;新型工业化;机器人概念;工业互联网;一带一路;深股通;融资融券,301251.SZ,33,301251,13
第三代半导体;芯片概念;5G;液冷服务器;高压快充;数据中心(AIDC);光伏概念;东数西算(算力);充电桩;比亚迪概念;专精特新;储能;新能源汽车;机器人概念;人形机器人;沪股通;融资融券,688261.SH,17,688261,17
芯片概念;专精特新;人民币贬值受益;沪股通;融资融券,688584.SH,17,688584,5
光刻机;中芯国际概念;芯片概念;专精特新;光伏概念;商业航天;医疗器械概念;沪股通;融资融券,688605.SH,17,688605,9
消费电子概念;碳纤维;光伏概念;融资融券,301237.SZ,33,301237,4
石墨烯;天然气;氢能源;锂电池概念;燃料电池;新能源汽车;融资融券,300985.SZ,33,300985,7
NFT概念;手机游戏;电子竞技;网络游戏;IP经济(谷子经济);文化传媒概念;云游戏;元宇宙;AI应用;跨境电商;抖音概念(字节概念);鸿蒙概念;三胎概念;腾讯概念;人工智能;数字货币;横琴新区;粤港澳大湾区;人民币贬值受益;华为概念;深股通,300043.SZ,33,300043,21
科创次新股;先进封装;芯片概念;注册制次新股;东数西算(算力);信创;人工智能;DeepSeek概念;智谱AI;新股与次新股;融资融券,688802.SH,17,688802,11
高压快充;汽车电子;无线充电;比亚迪概念;充电桩;储能;新能源汽车;小米汽车;燃料电池;机器人概念;氢能源;长安汽车概念;华为汽车;深股通;融资融券,300745.SZ,33,300745,15
人形机器人;锂电池概念;融资融券;固态电池;两轮车;人民币贬值受益;新型烟草(电子烟);储能;消费电子概念,920627.BJ,151,920627,9
央企国企改革;跨境电商;融资融券;国企改革;中字头股票;三胎概念;京津冀一体化,920122.BJ,151,920122,7
可降解塑料;ETC;电子身份证;专精特新;参股银行;煤化工概念,300717.SZ,33,300717,6
新型工业化;长安汽车概念;特斯拉概念;机器人概念;智能物流;高端装备;无人驾驶;工业互联网;比亚迪概念;车联网(车路协同);人工智能;专精特新;军工;宁德时代概念;智能电网;芯片概念;融资融券;深股通,300276.SZ,33,300276,18
中芯国际概念;第三代半导体;存储芯片;芯片概念;光纤概念;氟化工概念;光伏概念;专精特新;锂电池概念;储能;高端装备;氢能源;磷化工;医疗器械概念;合成生物;沪股通;融资融券,688596.SH,17,688596,17
固态电池;锂电池概念;2026一季报预增;宁德时代概念;特高压;比亚迪概念;国企改革;粤港澳大湾区;证金持股;航运概念;OLED;融资融券;AI眼镜;深股通;股权转让(并购重组),000973.SZ,33,000973,15
金属铜;金属锌;黄金概念;金属铅;新疆振兴;西部大开发;国企改革;2026中报预增;股权转让(并购重组);沪股通,601121.SH,17,601121,10
算力租赁;数字经济;旅游概念;物业管理;低空经济;东数西算(算力);无人机;数据中心(AIDC);参股保险;卫星导航;商业航天;5G;6G概念;芯片概念;沪股通;融资融券,600094.SH,17,600094,16
减速器;汽车热管理;飞行汽车(eVTOL);机器人概念;低空经济;长安汽车概念;共同富裕示范区;数字经济;无人驾驶;华为汽车;新能源汽车;比亚迪概念;融资融券;沪股通,603178.SH,17,603178,14
宠物经济;三胎概念;养老概念;跨境电商;京津冀一体化;一带一路;人民币贬值受益,001206.SZ,33,001206,7
一体化压铸;机器人概念;比亚迪概念;特斯拉概念;新能源汽车;减速器;深股通,001311.SZ,33,001311,7
AI应用;人工智能;DeepSeek概念;星闪概念;车联网(车路协同);AIGC概念;智能家居;在线教育;家用电器;智慧政务;机器人概念;云办公;智能座舱;小米概念;物业管理;智能穿戴;AI眼镜;汽车电子;深股通;2026中报预增;融资融券,002841.SZ,33,002841,21
先进封装;芯片概念;汽车电子;消费电子概念;无线耳机;5G;智能穿戴;光伏概念;华为概念;新能源汽车;物联网;抖音概念(字节概念);粤港澳大湾区;智能家居;区块链;数字经济;人民币贬值受益;文化传媒概念;网红经济;深股通,002137.SZ,33,002137,20
有机硅概念;硅能源;专精特新;融资融券,605399.SH,17,605399,4
超级电容;风电;蚂蚁集团概念;储能;数字经济;西部大开发;深股通,002951.SZ,33,002951,7
光刻胶;PEEK材料;钠离子电池;沪股通,603823.SH,17,603823,4
军工信息化;智慧城市;智慧政务;商业航天;信创;在线教育;数字经济;智能电网;AI应用;人工智能;车联网(车路协同);安防;粤港澳大湾区;专精特新;光纤概念;芯片概念,001229.SZ,33,001229,16
语音技术;人脸识别;雄安新区;京津冀一体化;数据要素;信创;多模态AI;数字经济;智能医疗;人工智能;智慧城市;车联网(车路协同);网络安全;高铁;安防;军工信息化;低空经济;军工;无人机;摘帽,003004.SZ,33,003004,20
中芯国际概念;国家大基金持股;存储芯片;先进封装;光纤概念;OLED;芯片概念;稀土永磁;5G;军工;牙科医疗;华为概念;医疗器械概念;央企国企改革;雄安新区;京津冀一体化;国企改革;沪股通;融资融券,600206.SH,17,600206,19
海工装备;光伏概念;风电;股权转让(并购重组),603356.SH,17,603356,4
注册制次新股;两轮车;一带一路;长安汽车概念;工业互联网;低空经济;储能;机器人概念;国企改革;比亚迪概念;新能源汽车;无人驾驶;人形机器人;宁德时代概念;智能座舱;汽车电子;无线充电;PCB概念;新股与次新股;融资融券,001365.SZ,33,001365,20
固态电池;锂电池概念;宁德时代概念;民爆概念;西部大开发;军民融合;比亚迪概念;军工;特斯拉概念;工业互联网;机器人概念;雅下水电概念;深股通;2026中报预增;融资融券,002497.SZ,33,002497,15
专精特新;光伏概念;职业教育,603065.SH,17,603065,3
西部大开发;国企改革;食品安全;电子纸,600793.SH,17,600793,4
