涨停原因类别[20260806],code,market_code,股票代码
光纤概念+高纯四氯化硅+功能性硅烷,605366,17,605366.SH
覆铜板+黄金+业绩增长+国企,002552,33,002552.SZ
高纯氟化氢+环氧丙烷+H股上市+半年报预增,601678,17,601678.SH
AI安全+网络安全+摘帽,300311,33,300311.SZ
资产重组+功率半导体+SiC MOSFET,688693,17,688693.SH
液冷服务器+智慧灯杆+照明工程,002963,33,002963.SZ
六氟化钨+存储芯片+电子化学品,688549,17,688549.SH
粮食概念+大健康食品+湖南国资,600127,17,600127.SH
数字支付+零售数字化+安全芯片,300386,33,300386.SZ
金融科技+AI应用+IT服务,002649,33,002649.SZ
供热工程+风电+亏损收窄,000692,33,000692.SZ
光刻胶+PEEK材料+战略入股,603823,17,603823.SH
水泥+矿产+西藏国资,600326,17,600326.SH
算力租赁+绿色智算中心+拟收购易信科技+湖南国资,600156,17,600156.SH
磷化铟+重大合同+锗业龙头,002428,33,002428.SZ
PCB+光模块+业绩预增+珠海国资,600601,17,600601.SH
ST板块+实控人变更预期+文旅+供应链,002485,33,002485.SZ
打印扫描+机器人概念+中报预增,002376,33,002376.SZ
电机+风电+储能+上游资源,603988,17,603988.SH
终止委托管理+电缆+光纤+实控人中国华能,000720,33,000720.SZ
AI应用+数字政务+数字人民币,003040,33,003040.SZ
电子化学品+氟化工+PEEK材料+萤石矿,002915,33,002915.SZ
钨钽铌资产注入+磁选装备+江西国资,600397,17,600397.SH
创新药+中药+石药入主+中报扭亏,000908,33,000908.SZ
数字货币+密码安全+商业航天,003029,33,003029.SZ
化学制药+米格列醇片+设立AI公司+半年报预增,002826,33,002826.SZ
六氟磷酸锂+化工+ST摘帽预期,002759,33,002759.SZ
重大资产重组+集成灶+保壳,605336,22,605336.SH
拟入股佳贤通信+英伟达相关+卫星通信+光模块,002792,33,002792.SZ
房地产+资产出售+跨界并购+国企,600665,17,600665.SH
电子布织机+固态电池+机器人概念+纺织机械,003036,33,003036.SZ
智能电网+液流储能+消防,603421,17,603421.SH
光模块+重大资产重组+CPO+代工,001267,33,001267.SZ
AI安全+腾讯生态+智算云,002212,33,002212.SZ
人形机器人+智慧城服+环卫保洁,002973,33,002973.SZ
算力电源+锂电池+电源产品,002052,33,002052.SZ
主焦煤龙头+河南国资,601666,17,601666.SH
AI算力PCB+光模块+汽车电子PCB,603228,17,603228.SH
TGV玻璃基板+CPO+先进封装,603773,17,603773.SH
煤炭+煤化工+中报预增+山东国资,600188,17,600188.SH
AI服务器电源PCB+定增扩产+光模块,301251,33,301251.SZ
无人驾驶+新能源矿车+国企改革,600262,17,600262.SH
复牌+拟收购欧康诺+存储测试+PVC地板,603221,17,603221.SH
控股股东拟变更+矿山投资开发+民爆+西藏国资,002827,33,002827.SZ
实控人拟变更+G5级湿电子化学品+半导体+上海国资,603078,17,603078.SH
金融智能终端+AI应用+金融信创,603106,17,603106.SH
CRO+创新药+金华国资入主,600721,17,600721.SH
煤炭+煤化工+安徽国资+高股息,600985,17,600985.SH
陶瓷PCB+AI算力+存储,300903,33,300903.SZ
控制权变更+数据中心+风机龙头,002686,33,002686.SZ
钨锡铅锌矿+碳酸锂+ST板块,002667,33,002667.SZ
对外投资+消费电子+机器人概念,002369,33,002369.SZ
医药商业+SPD+半年报预增+上海国资,600272,17,600272.SH
AI医疗+体外诊断+业绩改善,603122,17,603122.SH
半导体级氢氟酸+六氟磷酸锂+中报预增,002407,33,002407.SZ
短剧+游戏+摘帽+唐山国资,600892,17,600892.SH
AI应用+内容审核+数据标注+央企,000839,33,000839.SZ
光模块上游+铌酸锂+软磁材料+AI算力,600330,17,600330.SH
控制权变更+高溢价转让+射频器件,300615,33,300615.SZ
先进封装+半年报预增+央企,600584,17,600584.SH
煤炭+甲醇+中报预增+北京国资,601101,17,601101.SH
氦气+商业航天+国企改革+气体投资,300540,33,300540.SZ
,600363,17,600363.SH
半年报增长+半导体靶材+聚焦集成电路+央企,600206,17,600206.SH
6G预研+商业航天+滤波器龙头,002194,33,002194.SZ
数字货币+黄金珠宝+海淀国资,002721,33,002721.SZ
医药商业+健康消费+DTP药房+哈药集团,600829,17,600829.SH
拟收购+赛克+电磁线漆,603285,17,603285.SH
煤炭+中报减亏+河南国资,600403,17,600403.SH
光模块晶振+CPO+半年报预增,603738,17,603738.SH
游戏IP+AI应用+半年报预计扭亏,002425,33,002425.SZ
特高压+中报预增+国企改革,601700,17,601700.SH
数字人民币+中标+智能卡+数据安全,002104,33,002104.SZ
煤炭+热电+辽宁国企,600758,17,600758.SH
AI应用+半年报预增+协同办公,603039,17,603039.SH
数字人民币+跨境支付+AI应用+北京国资,603123,17,603123.SH
摘帽+红外热像仪+无人驾驶+新能源,002214,33,002214.SZ
国产打印机+端侧AI芯片,002180,33,002180.SZ
六氟化钨+电子特气+大宗气体,002971,33,002971.SZ
功能性BOPP薄膜+锂电池膜+中报预增,001378,33,001378.SZ
核电+预拌混凝土+国企改革,002302,33,002302.SZ
6G概念+AI应用+电力调度+广州国资,300711,33,300711.SZ
AI服务器测试+MLCC设备+英伟达+中报预增,002975,33,002975.SZ
喷吹煤龙头+上马煤矿探转采+山西国资,601699,17,601699.SH
