market_code,code,涨停原因类别[20260309],股票代码
17,600851,医药制造+投资并购+物业租赁,600851.SH
33,002575,算力租赁+腾讯合作+酒类销售,002575.SZ
33,301606,AI NAS+出海+业绩预增+H股上市,301606.SZ
33,001339,LPU+算力租赁+人形机器人+英伟达生态,001339.SZ
22,600599,,600599.SH
33,000862,风电技改+绿电直连+智能电网+资产注入预期,000862.SZ
17,601877,低压电器+光伏+虚拟电厂,601877.SH
33,003035,虚拟电厂+零碳园区+扭亏为盈+央企,003035.SZ
17,688158,OpenClaw+AI算力+云计算+回购完成,688158.SH
33,002068,炭黑龙头+固态电池+国企改革,002068.SZ
33,002112,电网设备+算力+地方国资,002112.SZ
22,600355,,600355.SH
17,688229,AI运维+APM龙头+信创适配,688229.SH
33,002229,算力租赁+“算力+新能源”,002229.SZ
22,600525,储能中标+智能电网+海外微电网,600525.SH
17,600227,甲醇+尿素+化肥+煤炭,600227.SH
33,002930,石化仓储+交割资质+智能物流,002930.SZ
17,600714,,600714.SH
17,601969,油气项目+拟收购萤石矿+铁矿石+回购,601969.SH
33,002300,海缆+数据中心+特高压,002300.SZ
33,000488,复工复产+山东国资+浆纸一体化,000488.SZ
22,600753,ST摘帽预期+液化石油气+充电桩,600753.SH
17,600602,松江智算中心+AI智能体+上海国资,600602.SH
17,603121,,603121.SH
33,000601,电力+抽水蓄能+生物质发电,000601.SZ
33,002730,算力租赁+智能矿山+矿用防爆电器,002730.SZ
17,601567,荷兰9.49亿订单+智能电网+康复连锁,601567.SH
33,300113,AI云电脑+算力租赁+AI应用+业绩预增,300113.SZ
17,605268,安全门锁+数据要素+智能制造+华为概念,605268.SH
33,000534,燃气轮机零部件+低空经济+微生态活菌,000534.SZ
17,688316,Clawdbot 应用+算力租赁+AI算力+混合云,688316.SH
17,601789,算力租赁+宁波国资整合+房屋建设,601789.SH
33,002445,拟购苏龙热电+火电转型+江阴国资,002445.SZ
33,002082,一季报预增+阿尔茨海默+创新药,002082.SZ
33,000504,细胞治疗+动力电池回收+湖南国资,000504.SZ
33,002015,算电协同+虚拟电厂+分布式光伏,002015.SZ
33,000973,锂电隔膜+超薄隔膜+广东国资,000973.SZ
33,000004,,000004.SZ
33,002512,,002512.SZ
33,002903,机器人+军工+工业母机,002903.SZ
17,600135,TAC膜+锂电隔膜+航天系,600135.SH
33,301396,算力租赁+扭亏为盈+智慧城市,301396.SZ
33,002047,扭亏为盈+光耦合器+珠海国资,002047.SZ
17,601233,,601233.SH
17,600821,算电协同+绿电+煤化工+天津国资,600821.SH
33,002261,华为昇腾+算力租赁+扭亏,002261.SZ
33,000533,算力基建+北美出口+干式变压器,000533.SZ
22,603268,,603268.SH
33,001258,储能扩张+疆电外送+新疆国资+风电光伏,001258.SZ
33,000066,AI服务器+智算产业+服务器电源+央企,000066.SZ
33,002306,,002306.SZ
17,603138,向量数据库+国产替代+信创,603138.SH
22,600289,4亿合同+算力概念+ST保壳,600289.SH
22,600568,医药制造+地产去化,600568.SH
17,603165,间接投资宇树科技+芯片+再生纸+高股息,603165.SH
33,000815,东数西算+算电协同+扭亏为盈+央企,000815.SZ
33,002528,深圳国资+智慧城市+减亏预期,002528.SZ
33,301179,电网设备+智能巡检+AI大模型,301179.SZ
17,600268,虚拟电厂+AI电力+电网设备+央企,600268.SH
