股票代码,code,所属概念数量,所属概念,market_code
688345.SH,688345,8,钠离子电池;固态电池;储能;锂电池概念;两轮车;数据中心;机器人概念;融资融券,17
301373.SZ,301373,3,光伏概念;专精特新;融资融券,33
300651.SZ,300651,3,足球概念;体育产业;2025年报预增,33
301630.SZ,301630,6,PCB概念;专精特新;注册制次新股;深股通;新股与次新股;融资融券,33
300927.SZ,300927,5,草甘膦;丙烯酸;国企改革;股权转让(并购重组);融资融券,33
300821.SZ,300821,6,硅能源;有机硅概念;燃料电池;2026一季报预增;融资融券;深股通,33
300165.SZ,300165,9,土壤修复;污水处理;工业大麻;食品安全;专精特新;华为概念;锂电池概念;医疗器械概念;摘帽,33
301024.SZ,301024,13,新型城镇化;装配式建筑;建筑节能;职业教育;上海自贸区;光伏建筑一体化;数据中心;风电;区块链;储能;蚂蚁集团概念;光伏概念;融资融券,33
301070.SZ,301070,15,东数西算(算力);华为昇腾;无人驾驶;智慧政务;比亚迪概念;光伏概念;储能;锂电池概念;DeepSeek概念;人工智能;智能医疗;高端装备;回购增持再贷款概念;绿色电力;融资融券,33
688098.SH,688098,6,动物疫苗;创新药;合成生物;宠物经济;回购增持再贷款概念;融资融券,17
300936.SZ,300936,11,PCB概念;毫米波雷达;芯片概念;卫星导航;5G;消费电子概念;专精特新;无人驾驶;华为概念;储能;融资融券,33
301217.SZ,301217,11,PCB概念;PET铜箔;5G;宁德时代概念;固态电池;比亚迪概念;锂电池概念;储能;国企改革;深股通;融资融券,33
300542.SZ,300542,34,数字货币;跨境支付(CIPS);互联网金融;区块链;鸿蒙概念;华为欧拉;华为鲲鹏;信创;财税数字化;网络安全;Web3.0;华为昇腾;数据要素;智慧城市;云计算;百度概念;元宇宙;虚拟数字人;DeepSeek概念;人工智能;NFT概念;军工信息化;低空经济;华为概念;商业航天;军民融合;军工;同花顺新质50;数据中心;华为海思概念股;一带一路;AI应用;深股通;股权转让(并购重组),33
301149.SZ,301149,9,建筑节能;风电;高铁;装配式建筑;专精特新;新能源汽车;体育产业;智能家居;融资融券,33
301552.SZ,301552,13,小米汽车;医疗器械概念;专精特新;新能源汽车;血氧仪;比亚迪概念;小米概念;特斯拉概念;低空经济;华为概念;军工;军民融合;融资融券,33
301362.SZ,301362,7,C2M概念;PCB概念;一带一路;生态农业;专精特新;人民币贬值受益;融资融券,33
300804.SZ,300804,2,粤港澳大湾区;融资融券,33
688702.SH,688702,8,国家大基金持股;5G;芯片概念;中国AI 50;数据中心;网络安全;沪股通;融资融券,17
600527.SH,600527,2,互联网金融;新型工业化,17
002109.SZ,002109,4,煤化工概念;国企改革;西部大开发;融资融券,33
601388.SH,601388,8,金属回收;汽车拆解概念;固废处理;2025年报预增;人民币贬值受益;海峡两岸;融资融券;沪股通,17
600227.SH,600227,9,化肥;煤化工概念;煤炭概念;阿尔茨海默概念;民营医院;仿制药一致性评价;西部大开发;医疗器械概念;创投,17
603188.SH,603188,3,染料;固废处理;国企改革,17
002427.SZ,002427,4,国企改革;海工装备;新能源汽车;深股通,33
600195.SH,600195,14,动物疫苗;禽流感;维生素;流感;宠物经济;乡村振兴;国企改革;参股保险;央企国企改革;赛马概念;2025年报预增;沪股通;中字头股票;融资融券,17
600423.SH,600423,5,消毒剂;煤化工概念;国企改革;西部大开发;芯片概念,17
600110.SH,600110,17,PET铜箔;固态电池;锂电池概念;宁德时代概念;PCB概念;军工;比亚迪概念;核电;无人机;新能源汽车;特斯拉概念;储能;粤港澳大湾区;绿色电力;融资融券;股权转让(并购重组);沪股通,17
002442.SZ,002442,4,煤化工概念;京津冀一体化;工业互联网;阿里巴巴概念,33
000919.SZ,000919,9,仿制药一致性评价;民营医院;创新药;医美概念;养老概念;医疗器械概念;创投;国企改革;高压氧舱,33
600596.SH,600596,16,草甘膦;有机硅概念;硅能源;锂电池概念;大豆;光伏概念;玉米;农业种植;乡村振兴;转基因;人形机器人;共同富裕示范区;液冷服务器;华为概念;沪股通;融资融券,17
600370.SH,600370,1,沪股通,17
600488.SH,600488,6,创新药;仿制药一致性评价;辅助生殖;数字经济;京津冀一体化;沪股通,17
600810.SH,600810,7,回购增持再贷款概念;国企改革;光伏建筑一体化;军工;股权转让(并购重组);沪股通;融资融券,17
002637.SZ,002637,6,消毒剂;回购增持再贷款概念;污水处理;一带一路;食品安全;深股通,33
002840.SZ,002840,9,养鸡;猪肉;预制菜;碳中和;绿色电力;回购增持再贷款概念;冷链物流;深股通;融资融券,33
603123.SH,603123,19,数字货币;跨境支付(CIPS);移动支付;无人零售;数字经济;数据要素;阿里巴巴概念;腾讯概念;无人驾驶;人工智能;京津冀一体化;旅游概念;物业管理;国企改革;芯片概念;汽车芯片;AI应用;沪股通;融资融券,17
600075.SH,600075,14,煤化工概念;水泥概念;生态农业;可降解塑料;碳交易;新疆振兴;绿色电力;国企改革;回购增持再贷款概念;西部大开发;储能;一带一路;沪股通;融资融券,17
002491.SZ,002491,13,光纤概念;5G;数据中心;专精特新;长三角一体化;储能;独角兽概念;网络安全;数字水印;数据安全;固态电池;深股通;融资融券,33
600955.SH,600955,4,环氧丙烷;消毒剂;锂电池概念;沪股通,17
603637.SH,603637,4,碳中和;氢能源;国企改革;天然气,17
600250.SH,600250,6,旅游概念;跨境电商;IP经济(谷子经济);养老概念;国企改革;低空经济,17
000703.SZ,000703,9,可降解塑料;融资融券;深股通;回购增持再贷款概念;一带一路;参股银行;西部大开发;互联网金融;阿里巴巴概念,33
603327.SH,603327,19,比亚迪概念;小米概念;华为概念;特斯拉概念;新能源汽车;消费电子概念;5G;AI手机;AI眼镜;柔性屏(折叠屏);MR(混合现实);苹果概念;宁德时代概念;锂电池概念;储能;西部大开发;国企改革;金属回收;沪股通,17
000912.SZ,000912,8,化肥;煤化工概念;乡村振兴;西部大开发;国企改革;回购增持再贷款概念;深股通;融资融券,33
605299.SH,605299,11,足球概念;冰雪产业;体育产业;跨境电商;海峡两岸;养老概念;人工智能;AIGC概念;鸿蒙概念;DeepSeek概念;华为概念,17
002193.SZ,002193,4,数字经济;工业互联网;人民币贬值受益;新疆振兴,33
002788.SZ,002788,8,福建自贸区;智能医疗;医药电商;海峡两岸;医疗器械概念;人工智能;养老概念;冷链物流,33
603988.SH,603988,5,新能源汽车;风电;储能;股权转让(并购重组);沪股通,17
000586.SZ,000586,6,光纤概念;5G;特高压;专精特新;智能电网;西部大开发,33
000062.SZ,000062,24,存储芯片;华为海思概念股;第三代半导体;芯片概念;汽车电子;华为昇腾;华为概念;共封装光学(CPO);比亚迪概念;粤港澳大湾区;新能源汽车;互联网金融;腾讯概念;机器人概念;6G概念;AI智能体;智慧城市;人民币贬值受益;2025年报预增;创投;雄安新区;深股通;融资融券;证金持股,33
600623.SH,600623,17,煤化工概念;丙烯酸;PVDF概念;新疆振兴;氟化工概念;消毒剂;国企改革;锂电池概念;回购增持再贷款概念;参股券商;芯片概念;沪股通;上海国企改革;创投;DeepSeek概念;超级品牌;融资融券,17
601133.SH,601133,8,中芯国际概念;存储芯片;OLED;芯片概念;柔性屏(折叠屏);装配式建筑;沪股通;融资融券,17
600158.SH,600158,16,赛马概念;足球概念;冰雪产业;体育产业;旅游概念;职业教育;文化传媒概念;NFT概念;国企改革;京津冀一体化;数字经济;在线教育;数据中心;沪股通;融资融券;中字头股票,17
002025.SZ,002025,23,卫星导航;商业航天;大飞机;军工;同花顺新质50;铜缆高速连接;低空经济;5G;共封装光学(CPO);数据中心;华为概念;液冷服务器;机器视觉;核电;小米概念;比亚迪概念;新能源汽车;央企国企改革;智能物流;西部大开发;国企改革;深股通;融资融券,33
605162.SH,605162,5,虚拟电厂;绿色电力;碳交易;碳中和;储能,17
603778.SH,603778,11,TOPCON电池;钙钛矿电池;HJT电池;硅能源;新型城镇化;PPP概念;虚拟电厂;光伏概念;固态电池;储能;锂电池概念,17
603687.SH,603687,14,钙钛矿电池;数字水印;AIGC概念;ChatGPT概念;光伏概念;烟草;DeepSeek概念;数字孪生;锂电池概念;共同富裕示范区;工业互联网;人工智能;芯片概念;物联网,17
600259.SH,600259,10,金属铜;稀土永磁;小金属概念;央企国企改革;海南自贸区;国企改革;粤港澳大湾区;融资融券;中字头股票;沪股通,17
002119.SZ,002119,8,存储芯片;先进封装;芯片概念;专精特新;自由贸易港;核电;深股通;融资融券,33
603353.SH,603353,8,俄乌冲突概念;华为数字能源;DeepSeek概念;华为概念;芯片概念;高压快充;充电桩;存储芯片,17
002980.SZ,002980,21,共封装光学(CPO);血氧仪;华为鲲鹏;核污染防治;PM2.5;AI眼镜;智能穿戴;鸿蒙概念;AI智能体;DeepSeek概念;物联网;食品安全;智能医疗;充电桩;光伏概念;核电;医疗器械概念;储能;新能源汽车;人民币贬值受益;流感,33
603002.SH,603002,9,PCB概念;先进封装;3D打印;芯片概念;5G;比亚迪概念;英伟达概念;海峡两岸;沪股通,17
603421.SH,603421,10,充电桩;虚拟电厂;电力物联网;智能电网;MCU芯片;储能;光伏概念;华为概念;鸿蒙概念;芯片概念,17
600722.SH,600722,5,煤化工概念;国企改革;融资融券;风电;京津冀一体化,17
