股票代码,所属概念,所属概念数量,market_code,code
300981.SZ,智能医疗;医疗器械概念;宠物经济;国企改革;人民币贬值受益;核污染防治;专精特新;融资融券;深股通,9,33,300981
300185.SZ,海工装备;核电;核污染防治;风电;超超临界发电;抽水蓄能;军工;高端装备;储能;回购增持再贷款概念;国企改革;京津冀一体化;2025年报预增;深股通;融资融券,15,33,300185
300677.SZ,医疗器械概念;智能医疗;人民币贬值受益;创投;跨境电商;养老概念;融资融券;深股通,8,33,300677
300505.SZ,磷化工;化肥;固废处理;2025三季报预增;2025年报预增;西部大开发;一带一路;人民币贬值受益;宠物经济;深股通;融资融券,11,33,300505
300720.SZ,机器人概念;物联网;股权转让(并购重组),3,33,300720
300035.SZ,固态电池;钠离子电池;宁德时代概念;锂电池概念;比亚迪概念;石墨电极;储能;硅能源;高压快充;2025年报预增;PCB概念;专精特新;创投;融资融券;深股通,15,33,300035
300143.SZ,脑机接口;高压氧舱;智能医疗;AI智能体;养老概念;人工智能;DeepSeek概念;医美概念;民营医院;医疗器械概念;物联网;创投;机器人概念;AI应用;融资融券;深股通,16,33,300143
920159.BJ,化肥;数字乡村;新股与次新股;融资融券,4,151,920159
688519.SH,PCB概念;共封装光学(CPO);MiniLED;存储芯片;5G;新能源汽车;2025年报预增;专精特新;华为概念;沪股通;融资融券,11,17,688519
300936.SZ,PCB概念;毫米波雷达;5G;卫星导航;芯片概念;消费电子概念;专精特新;无人驾驶;华为概念;储能;融资融券,11,33,300936
688689.SH,先进封装;汽车芯片;第三代半导体;芯片概念;汽车电子;传感器;专精特新;比亚迪概念;新能源汽车;无人驾驶;融资融券,11,17,688689
300569.SZ,风电;绿色电力;光伏概念;海工装备;回购增持再贷款概念;国企改革;横琴新区;融资融券;深股通,9,33,300569
600408.SH,煤炭概念;煤化工概念;氢能源;碳中和,4,17,600408
000677.SZ,低空经济;京津冀一体化;军工,3,33,000677
600370.SH,沪股通,1,17,600370
600227.SH,化肥;煤化工概念;煤炭概念;民营医院;阿尔茨海默概念;西部大开发;仿制药一致性评价;医疗器械概念;创投,9,17,600227
600226.SH,腾讯概念;创投;比亚迪概念;PCB概念;合成生物;PET铜箔;锂电池概念;动物疫苗;沪股通,9,17,600226
600726.SH,超超临界发电;绿色电力;风电;煤炭概念;黑龙江自贸区;国企改革;央企国企改革;沪股通,8,17,600726
600683.SH,特色小镇;土地流转;物业管理;旅游概念;国企改革;养老概念;京津冀一体化;创投,8,17,600683
002445.SZ,光伏建筑一体化;文化传媒概念;手机游戏;绿色电力;独角兽概念;虚拟现实;海工装备;国企改革;深股通;融资融券,10,33,002445
002429.SZ,MicroLED概念;MiniLED;WiFi 6;F5G概念;共封装光学(CPO);第三代半导体;5G;短剧游戏;汽车芯片;AI应用;光纤概念;富士康概念;拼多多概念;智能音箱;抖音概念(字节概念);阿里巴巴概念;AIGC概念;小米概念;芯片概念;消费电子概念;数据中心;PCB概念;鸿蒙概念;智能家居;粤港澳大湾区;人民币贬值受益;深圳国企改革;国企改革;深股通;融资融券;先进封装,31,33,002429
002669.SZ,碳纤维;PCB概念;高铁;毫米波雷达;军工;先进封装;商业航天;芯片概念;消费电子概念;新能源汽车;专精特新;军民融合;低空经济;传感器;光伏概念;卫星导航;5G;机器人概念;锂电池概念;MCU芯片;风电;军工信息化;一带一路;回购增持再贷款概念;华为概念;国企改革;数字经济,27,33,002669
600234.SH,物业管理;抖音概念(字节概念);文化传媒概念;摘帽,4,17,600234
002950.SZ,医药电商;医美概念;医疗器械概念;三胎概念;人民币贬值受益;回购增持再贷款概念;深股通,7,33,002950
600232.SH,新能源汽车;中俄贸易概念;工业大麻;职业教育;一带一路;锂电池概念,6,17,600232
601611.SH,可控核聚变;军工;核电;智能电网;风电;央企国企改革;水利;中字头股票;储能;房屋检测;一带一路;长三角一体化;国企改革;PPP概念;同花顺中特估100;沪股通;融资融券,17,17,601611
603366.SH,蚂蚁集团概念;区块链;参股银行;创投;智能家居;建筑节能;华为概念;家用电器;空气能热泵;充电桩;光伏概念;储能;特斯拉概念;融资融券;沪股通,15,17,603366
000890.SZ,光纤概念;独角兽概念;净水概念;污水处理;储能,5,33,000890
605222.SH,特高压;核电;风电;商业航天;海工装备;军工;光伏概念;大飞机;充电桩;机器人概念;数据中心;特斯拉概念;沪股通,13,17,605222
603538.SH,辅助生殖;肝炎概念;减肥药;CRO概念;流感;合成生物;宠物经济;人民币贬值受益;沪股通;融资融券,10,17,603538
002969.SZ,啤酒概念;海峡两岸;回购增持再贷款概念;股权转让(并购重组),4,33,002969
603659.SH,钠离子电池;固态电池;PVDF概念;石墨电极;宁德时代概念;锂电池概念;PET铜箔;特斯拉概念;储能;2025年报预增;消费电子概念;新能源汽车;芯片概念;碳中和;沪股通;融资融券,16,17,603659
002531.SZ,氢能源;风电;绿色电力;海工装备;深股通;融资融券,6,33,002531
603062.SH,专精特新;储能;光伏概念;风电;碳中和;海工装备;沪股通;融资融券,8,17,603062
002931.SZ,长安汽车概念;机器人概念;新能源汽车;股权转让(并购重组),4,33,002931
003027.SZ,碳中和;储能;钠离子电池;2025三季报预增;2025年报预增,5,33,003027
