所属概念数量,market_code,所属概念,股票代码,code
16,17,共封装光学(CPO);小米概念;消费电子概念;汽车电子;比亚迪概念;机器人概念;智能穿戴;智能座舱;无人驾驶;富士康概念;华为概念;华为手机;PCB概念;注册制次新股;新股与次新股;融资融券,603459.SH,603459
6,151,小米概念;一带一路;智能家居;参股银行;新股与次新股;融资融券,920011.BJ,920011
20,151,AI应用;雄安新区;百度概念;华为概念;光纤概念;数据要素;数字乡村;养老概念;融资融券;智慧政务;移动支付;网络安全;数据中心;智慧城市;互联网保险;信创;互联网金融;乡村振兴;DeepSeek概念;京津冀一体化,920171.BJ,920171
7,33,算力租赁;物联网;柔性屏(折叠屏);跨境电商;人民币贬值受益;深股通;摘帽,300209.SZ,300209
28,33,小红书概念;快手概念;智谱AI;短剧游戏;Web3.0;AIGC概念;ChatGPT概念;虚拟数字人;抖音概念(字节概念);AI智能体;NFT概念;文化传媒概念;百度概念;在线教育;阿里巴巴概念;腾讯概念;元宇宙;人工智能;职业教育;DeepSeek概念;网红经济;AI应用;虚拟现实;华为概念;跨境电商;创投;深股通;融资融券,300058.SZ,300058
13,33,存储芯片;芯片概念;数据中心;2025年报预增;粤港澳大湾区;腾讯概念;人民币贬值受益;抖音概念(字节概念);阿里巴巴概念;家用电器;2026一季报预增;深股通;融资融券,300475.SZ,300475
11,33,商业航天;航空发动机;大飞机;低空经济;无人机;核电;工业互联网;专精特新;机器人概念;风电;融资融券,301232.SZ,301232
15,33,东数西算(算力);华为昇腾;无人驾驶;智慧政务;比亚迪概念;光伏概念;储能;锂电池概念;DeepSeek概念;人工智能;智能医疗;高端装备;回购增持再贷款概念;绿色电力;融资融券,301070.SZ,301070
13,17,光刻机;先进封装;PCB概念;OLED;光刻胶;芯片概念;2025年报预增;专精特新;高端装备;光伏概念;BC电池;融资融券;沪股通,688630.SH,688630
14,17,共封装光学(CPO);PCB概念;5G;汽车电子;智能穿戴;专精特新;智能座舱;新能源汽车;粤港澳大湾区;机器人概念;医疗器械概念;绿色电力;股权转让(并购重组);融资融券,688655.SH,688655
3,17,专精特新;京津冀一体化;融资融券,688485.SH,688485
33,33,算力租赁;数字水印;华为昇腾;智谱AI;东数西算(算力);多模态AI;快手概念;腾讯概念;阿里巴巴概念;虚拟数字人;数据要素;鸿蒙概念;元宇宙;数据中心;短剧游戏;WiFi 6;虚拟现实;DeepSeek概念;6G概念;数字经济;智能音箱;文化传媒概念;5G;F5G概念;IP经济(谷子经济);芯片概念;低空经济;无人机;共封装光学(CPO);智能家居;机器人概念;人形机器人;储能,300571.SZ,300571
8,17,汽车芯片;第三代半导体;芯片概念;专精特新;无人机;充电桩;智能电网;融资融券,688693.SH,688693
16,33,人形机器人;无人驾驶;消费电子概念;小米概念;比亚迪概念;柔性屏(折叠屏);新能源汽车;5G;新型烟草(电子烟);物联网;无人机;华为概念;PCB概念;数据中心;深股通;融资融券,300679.SZ,300679
9,17,苹果概念;芯片概念;专精特新;英伟达概念;华为概念;人民币贬值受益;粤港澳大湾区;沪股通;融资融券,688112.SH,688112
27,151,京津冀一体化;先进封装;AI应用;6G概念;卫星导航;冰雪产业;体育产业;商业航天;虚拟数字人;Sora概念(文生视频);毫米波雷达;知识产权保护;足球概念;智能穿戴;芯片概念;短剧游戏;腾讯概念;文化传媒概念;融资融券;人工智能;低空经济;AIGC概念;军工;5G;军民融合;DeepSeek概念;AI智能体,920021.BJ,920021
14,33,OLED;柔性屏(折叠屏);富士康概念;消费电子概念;智能穿戴;新能源汽车;小米概念;比亚迪概念;机器人概念;固态电池;华为概念;虚拟现实;石墨烯;回购增持再贷款概念,300686.SZ,300686
31,33,算力租赁;财税数字化;云计算;东数西算(算力);多模态AI;ChatGPT概念;智慧政务;信创;AI智能体;腾讯概念;数据要素;空间计算;数据中心;DeepSeek概念;MR(混合现实);数字经济;智慧城市;华为概念;人工智能;安防;AI应用;职业教育;智能医疗;物联网;专精特新;乡村振兴;智能物流;旅游概念;新型城镇化;深股通;融资融券,301396.SZ,301396
10,33,黄金概念;民爆概念;2025年报预增;一带一路;绿色电力;人民币贬值受益;智能电网;芯片概念;深股通;融资融券,300139.SZ,300139
33,33,快手概念;小红书概念;Sora概念(文生视频);智谱AI;拼多多概念;华为盘古;多模态AI;ChatGPT概念;AIGC概念;短剧游戏;虚拟数字人;AI智能体;抖音概念(字节概念);云计算;AI应用;数据要素;阿里巴巴概念;腾讯概念;百度概念;文化传媒概念;移动支付;人工智能;DeepSeek概念;跨境支付(CIPS);独角兽概念;华为概念;跨境电商;创投;小米概念;人民币贬值受益;西部大开发;深股通;融资融券,301171.SZ,301171
14,17,光刻胶;苹果概念;消费电子概念;宁德时代概念;工业母机;专精特新;汽车电子;比亚迪概念;机器视觉;新型工业化;机器人概念;人形机器人;一带一路;融资融券,688125.SH,688125
6,17,量子科技;芯片概念;DeepSeek概念;跨境电商;沪股通;融资融券,688337.SH,688337
6,33,新型城镇化;ERP概念;数据确权;华为概念;AIGC概念;股权转让(并购重组),300668.SZ,300668
11,17,先进封装;芯片概念;液冷服务器;PET铜箔;专精特新;军工;比亚迪概念;宁德时代概念;固态电池;沪股通;融资融券,688392.SH,688392
23,33,液冷服务器;5G;数据中心;高压快充;可控核聚变;成飞概念;军工;核电;新能源汽车;华为概念;2025年报预增;储能;锂电池概念;空气能热泵;抽水蓄能;阿里巴巴概念;腾讯概念;百度概念;抖音概念(字节概念);DeepSeek概念;碳中和;深股通;融资融券,301018.SZ,301018
