所属概念数量,股票代码,market_code,所属概念,code
4.0,920271.BJ,151,融资融券;汽车热管理;低空经济;人民币贬值受益,920271
16.0,300264.SZ,33,Web3.0;在线教育;空间计算;文化传媒概念;AIGC概念;虚拟数字人;元宇宙;国产操作系统;云游戏;人工智能;MR(混合现实);百度概念;虚拟现实;专精特新;华为概念;股权转让(并购重组),300264
12.0,688216.SH,17,汽车芯片;存储芯片;先进封装;MCU芯片;第三代半导体;芯片概念;消费电子概念;5G;传感器;专精特新;粤港澳大湾区;融资融券,688216
5.0,688662.SH,17,共封装光学(CPO);芯片概念;5G;储能;融资融券,688662
19.0,688456.SH,17,先进封装;PCB概念;芯片概念;BC电池;卫星导航;商业航天;3D打印;航空发动机;数据中心(AIDC);光伏概念;华为概念;军工;华为昇腾;机器人概念;军民融合;金属镍;央企国企改革;国企改革;融资融券,688456
5.0,688485.SH,17,光纤概念;芯片概念;专精特新;京津冀一体化;融资融券,688485
7.0,300721.SZ,33,环氧丙烷;染料;光刻胶;OLED;芯片概念;锂电池概念;新能源汽车,300721
5.0,688056.SH,17,光刻胶;食品安全;核污染防治;芯片概念;融资融券,688056
7.0,920471.BJ,151,融资融券;环氧丙烷;合成生物;基因测序;可降解塑料;京津冀一体化;NMN概念,920471
13.0,688146.SH,17,中船系;光刻机;国家大基金持股;中芯国际概念;氟化工概念;芯片概念;固态电池;锂电池概念;央企国企改革;国企改革;沪股通;融资融券;中字头股票,688146
8.0,920091.BJ,151,新能源汽车;机器人概念;长安汽车概念;专精特新;比亚迪概念;机器视觉;新股与次新股;融资融券,920091
17.0,688227.SH,17,华为欧拉;算力租赁;云计算;军工;信创;智慧政务;东数西算(算力);数据要素;AI智能体;华为概念;数字经济;DeepSeek概念;人工智能;互联网金融;区块链;芯片概念;融资融券,688227
7.0,301557.SZ,33,风电;专精特新;海工装备;军工;无人机;碳纤维;融资融券,301557
10.0,688530.SH,17,PET铜箔;MiniLED;芯片概念;MicroLED概念;HJT电池;专精特新;钙钛矿电池;光伏概念;小金属概念;融资融券,688530
3.0,300641.SZ,33,锂电池概念;深股通;融资融券,300641
14.0,301337.SZ,33,鸿蒙概念;物联网;信创;数据要素;AI应用;国产操作系统;人工智能;云计算;脑机接口;智能医疗;专精特新;机器人概念;养老概念;融资融券,301337
9.0,688783.SH,17,国家大基金持股;存储芯片;科创次新股;MCU芯片;芯片概念;注册制次新股;西部大开发;新股与次新股;融资融券,688783
4.0,920304.BJ,151,融资融券;化肥;光热发电;储能,920304
21.0,300331.SZ,33,光刻机;中芯国际概念;OLED;芯片概念;柔性屏(折叠屏);电子纸;3D打印;智能穿戴;专精特新;小米概念;光伏概念;虚拟现实;华为概念;AI PC;烟草;元宇宙;人工智能;体育产业;IP经济(谷子经济);深股通;融资融券,300331
18.0,688323.SH,17,先进封装;柔性屏(折叠屏);芯片概念;PCB概念;消费电子概念;钙钛矿电池;固态电池;5G;6G概念;专精特新;光伏概念;华为概念;卫星导航;储能;商业航天;军工;风电;融资融券,688323
10.0,688809.SH,17,存储芯片;科创次新股;芯片概念;华为概念;2026一季报预增;注册制次新股;2025年报预增;长三角一体化;新股与次新股;融资融券,688809
6.0,688669.SH,17,光刻胶;钙钛矿电池;石墨烯;可降解塑料;磷化工;融资融券,688669
27.0,300556.SZ,33,空间计算;智慧政务;在线教育;数字孪生;虚拟数字人;元宇宙;数据要素;AIGC概念;时空大数据;职业教育;智慧城市;云计算;阿里巴巴概念;人工智能;抖音概念(字节概念);文化传媒概念;数字经济;虚拟现实;机器视觉;粤港澳大湾区;华为概念;MR(混合现实);雄安新区;东数西算(算力);大飞机;商业航天;苹果概念,300556
6.0,301227.SZ,33,黑龙江自贸区;建筑节能;装配式建筑;碳中和;智能家居;融资融券,301227
8.0,688786.SH,17,柔性屏(折叠屏);消费电子概念;3D打印;专精特新;军工;动力电池回收;特钢概念;融资融券,688786
8.0,688549.SH,17,中芯国际概念;国家大基金持股;存储芯片;氟化工概念;先进封装;芯片概念;沪股通;融资融券,688549
11.0,688535.SH,17,存储芯片;先进封装;汽车芯片;芯片概念;汽车电子;专精特新;华为概念;光伏概念;股权转让(并购重组);沪股通;融资融券,688535
18.0,300411.SZ,33,PM2.5;可控核聚变;高铁;军民融合;水利;海工装备;核电;军工;高端装备;共同富裕示范区;商业航天;飞行汽车(eVTOL);低空经济;雅下水电概念;无人机;专精特新;人工智能;深股通,300411
20.0,600981.SH,17,物业管理;参股保险;垃圾分类;跨境电商;三胎概念;乡村振兴;预制菜;蚂蚁集团概念;统一大市场;参股券商;中俄贸易概念;冷链物流;创投;国企改革;绿色电力;一带一路;医疗器械概念;海工装备;期货概念;沪股通,600981
4.0,301053.SZ,33,新型工业化;一带一路;专精特新;融资融券,301053
4.0,600665.SH,17,物业管理;水利;西部大开发;国企改革,600665
12.0,600500.SH,17,环氧丙烷;代糖概念;中字头股票;动力电池回收;宁德时代概念;一带一路;国企改革;上海自贸区;央企国企改革;沪股通;融资融券;光纤概念,600500
11.0,002256.SZ,33,光伏建筑一体化;绿色电力;碳中和;储能;盐湖提锂;AI手机;锂电池概念;化肥;染料;深股通;融资融券,002256
13.0,600229.SH,17,IP经济(谷子经济);文化传媒概念;在线教育;短剧游戏;AIGC概念;数据要素;国企改革;人工智能;独角兽概念;多模态AI;虚拟现实;融资融券;沪股通,600229
44.0,002354.SZ,33,AI视频;小红书概念;AI语料;短剧游戏;虚拟数字人;快手概念;Web3.0;在线教育;文化传媒概念;电子竞技;AIGC概念;ChatGPT概念;手机游戏;网络游戏;元宇宙;AI应用;IP经济(谷子经济);多模态AI;数据确权;数据要素;AI智能体;数字孪生;抖音概念(字节概念);腾讯概念;百度概念;数字经济;云计算;信创;DeepSeek概念;人工智能;跨境电商;智能医疗;乡村振兴;虚拟现实;虚拟电厂;算力租赁;机器人概念;人形机器人;机器视觉;MR(混合现实);东数西算(算力);芯片概念;深股通;融资融券,002354
7.0,600732.SH,17,光伏建筑一体化;TOPCON电池;BC电池;风电;光伏概念;沪股通;融资融券,600732
3.0,605006.SH,17,PCB概念;风电;国企改革,605006
8.0,600843.SH,17,低空经济;工业互联网;新型工业化;机器人概念;碳纤维;比亚迪概念;沪股通;融资融券,600843
44.0,603636.SH,17,Web3.0;智谱AI;云计算;华为昇腾;数据安全;华为鲲鹏;智慧政务;华为盘古;电子身份证;数据确权;网络安全;信创;鸿蒙概念;数字水印;数据要素;虚拟数字人;AI智能体;百度概念;阿里巴巴概念;数字乡村;AI应用;人脸识别;区块链;算力租赁;智慧城市;蚂蚁集团概念;数字经济;车联网(车路协同);人工智能;DeepSeek概念;东数西算(算力);物联网;水利;智慧灯杆;华为概念;智能医疗;无人驾驶;房屋检测;军工;海峡两岸;PPP概念;乡村振兴;沪股通;融资融券,603636
8.0,600088.SH,17,文化传媒概念;旅游概念;虚拟数字人;乡村振兴;国企改革;融资融券;沪股通;中字头股票,600088
8.0,603155.SH,17,光刻胶;有机硅概念;芯片概念;锂电池概念;国企改革;光纤概念;沪股通;股权转让(并购重组),603155
11.0,002125.SZ,33,小金属概念;钠离子电池;固态电池;锂电池概念;金属镍;宁德时代概念;比亚迪概念;污水处理;国企改革;深股通;融资融券,002125
5.0,003026.SZ,33,芯片概念;传感器;硅能源;汽车电子;2025年报预增,003026
5.0,603276.SH,17,合成生物;生态农业;锂电池概念;2025年报预增;融资融券,603276
9.0,001332.SZ,33,可控核聚变;核电;光伏概念;光热发电;海工装备;固态电池;氢能源;天然气;深股通,001332
11.0,603375.SH,17,汽车芯片;存储芯片;芯片概念;传感器;专精特新;比亚迪概念;机器人概念;PVDF概念;低空经济;民爆概念;融资融券,603375
9.0,600593.SH,17,冰雪产业;露营经济;旅游概念;IP经济(谷子经济);体育产业;元宇宙;参股银行;国企改革;股权转让(并购重组),600593
8.0,002119.SZ,33,存储芯片;先进封装;芯片概念;专精特新;核电;自由贸易港;深股通;融资融券,002119
9.0,603002.SH,17,PCB概念;先进封装;5G;英伟达概念;芯片概念;比亚迪概念;海峡两岸;3D打印;沪股通,603002
26.0,002669.SZ,33,PCB概念;消费电子概念;毫米波雷达;先进封装;传感器;新能源汽车;MCU芯片;芯片概念;商业航天;专精特新;5G;碳纤维;锂电池概念;军工;卫星导航;光伏概念;机器人概念;军民融合;低空经济;高铁;军工信息化;华为概念;风电;一带一路;数字经济;国企改革,002669
