market_code,股票代码,涨停原因类别[20260709],code
33,301379.SZ,存储芯片+企业级SSD+触显模组,301379
33,002632.SZ,努比亚AI手机+石墨烯散热+液冷服务器+反光材料龙头,002632
33,002552.SZ,中报预增+覆铜板+黄金+国企,002552
17,603001.SH,,603001
17,688584.SH,半导体硅外延片+12英寸扩产+SOI布局,688584
33,002829.SZ,中报扭亏+商业航天+无人系统,002829
33,002579.SZ,PCB+高阶HDI+AIPC+定增通过,002579
33,300716.SZ,,300716
33,300626.SZ,机器人+换向器+股权转让+地方国资,300626
17,603137.SH,拟收购存储公司+建筑幕墙+跨界转型,603137
17,603005.SH,先进封装+分拆上市+车规CIS,603005
17,603156.SH,长江存储+创投+核桃乳,603156
33,000021.SZ,存储封测扩产+高端存储芯片+央企,000021
17,688328.SH,半导体设备+存储芯片+一季报增长,688328
33,002409.SZ,半导体前驱体+存储芯片+HBM,002409
33,002731.SZ,,002731
17,603898.SH,AI智能家居+门店智能化升级+定制家居,603898
17,603906.SH,,603906
33,002414.SZ,半年报预增+型号产品交付+红外芯片,002414
33,002745.SZ,实控人增持+PCB涨价+LED封装,002745
17,600909.SH,间接持有长鑫存储股份+证券+安徽国资,600909
33,002192.SZ,,002192
17,600770.SH,参股神州龙芯（CPU）+功率半导体IDM+金刚石散热,600770
33,003005.SZ,,003005
33,300469.SZ,车路云一体化+北斗+保险+智慧交通,300469
17,600418.SH,业绩落地+尊界+安徽国资,600418
17,605319.SH,功率半导体+汽车零部件+小米汽车+拟收购德维嘉,605319
17,603757.SH,液冷泵+算力温控+泵业龙头,603757
33,002274.SZ,中报预增+多元醇+煤化工,002274
17,600350.SH,,600350
33,002346.SZ,成套开关设备+订单新高+集成电路,002346
17,603933.SH,拟收购博泰智能+半导体分销+人形机器人,603933
33,002815.SZ,PCB+AI服务器+IC载板+高端产能,002815
33,002990.SZ,,002990
17,600992.SH,商业航天+钢丝绳龙头+国企改革,600992
33,002067.SZ,2026中报预增+造纸+间接持股宇树科技,002067
17,688610.SH,半导体检测+PCB+机器视觉+一季报增长,688610
33,002677.SZ,AI厨电+集成灶龙头+智能驾驶,002677
17,603813.SH,终止协议+供应链物流+氢能源+摘帽,603813
33,300522.SZ,,300522
33,002910.SZ,,002910
33,002281.SZ,3.2T硅光NPO+CPO+H股上市+央企,002281
33,002907.SZ,创新药+中药保护+中成药国际化,002907
17,600228.SH,AI应用+在线导购+苹果概念+控制权变更,600228
33,002384.SZ,光模块+光芯片+AI PCB,002384
33,002057.SZ,,002057
33,301117.SZ,,301117
33,002185.SZ,先进封装+存储芯片+并购重组,002185
37,000004.SZ,退市整理期+移动安全+减亏,000004
17,603937.SH,,603937
17,603991.SH,半导体引线框架+资产重组+一季报扭亏,603991
17,603061.SH,半导体测试设备+一季报增长+可转债募资,603061
33,000977.SZ,中报预增+AI服务器+液冷+山东国资,000977
33,002156.SZ,AMD产业链+先进封装+定增获批,002156
17,600353.SH,氮化铝+韩国客户+可控核聚变,600353
33,000892.SZ,互动影游+AI应用+短剧,000892
33,002208.SZ,间接投资长鑫科技+房地产+合肥国资,002208
33,000887.SZ,人形机器人+液冷服务器+汽车零部件,000887
17,600584.SH,先进封装+CPO光引擎+存储芯片+央企,600584
17,603726.SH,间接投资长鑫科技+人形机器人+空调风叶龙头,603726
17,688720.SH,先进封装+存储芯片+光刻胶+电镀液,688720
17,603688.SH,半导体石英+光纤概念+高纯石英砂,603688
17,603986.SH,长鑫+存储芯片+MCU,603986
17,600206.SH,终止定增+半导体靶材+存储芯片+央企,600206
33,301607.SZ,数据中心电源+800V高压平台+小米汽车,301607
17,603222.SH,集成电路+AI芯片+创新药+医疗器械,603222
33,002851.SZ,AI电源+英伟达产业链+H股上市,002851
33,002490.SZ,油气装备+海外大单+山东国资,002490
33,002845.SZ,半导体先进封装+车载摄像头+显示模组,002845
33,000672.SZ,长鑫科技+半导体封装基板+创投+水泥,000672
17,600667.SH,存储芯片封测+SK海力士+无锡国资,600667
17,603329.SH,中报预增+硫磺涨价+供应链物流+湖北国资,603329
33,000417.SZ,间接投资长鑫科技+合肥国资+零售+农批,000417
33,002364.SZ,算力+HVDC+宁德时代拟入股,002364
33,003020.SZ,精麻药+盐酸哌甲酯放量+脑机接口,003020
33,000628.SZ,,000628
33,003018.SZ,液冷服务器+拟定增扩产+饮料瓶盖龙头,003018
33,002841.SZ,中报预增+交互智能平板+AI教育+机器人,002841
33,001395.SZ,2026中报预增+人造板装备+海外业务,001395
17,688432.SH,收购晶隆半导体+半导体硅片+产能扩张,688432
17,605358.SH,半导体硅片涨价+12英寸硅片+VCSEL芯片,605358
33,002975.SZ,AI服务器测试+MLCC设备+人形机器人+存储芯片,002975
33,002436.SZ,定增扩产+mSAP基板+1.6T光模块,002436
17,603928.SH,半导体光刻胶+CVD硅碳负极+铸造树脂,603928
17,603666.SH,具身智能+华为合作+电力机器人,603666
33,000811.SZ,液冷服务器+拟收购+烟台国资,000811
17,688333.SH,金属3D打印+商业航天+优必选合作,688333
33,002916.SZ,AI算力+PCB+定增获批+央企,002916
17,688371.SH,纳米镀膜+液冷服务器+汽车电子,688371
